"A","B","C","D","E","F","G","H","I"
5,7,25,14,30,50,35,56,30
5,17,6,17,18,20,41,54,77
0,11,28,25,23,77,110,28,84
22,3,56,27,19,50,9,31,66
37,29,29,9,19,20,44,53,2
2,31,16,37,43,44,76,9,83
4,28,1,30,1,43,14,86,23
12,53,14,11,52,76,76,73,112
7,8,64,35,7,33,79,125,46
17,1,31,19,14,14,36,23,84
4,3,37,3,14,24,55,40,53
20,18,24,12,19,16,33,74,26
0,28,64,4,29,8,40,118,79
5,41,38,9,41,61,9,22,68
17,17,16,62,63,28,39,38,61
5,17,7,70,70,18,41,74,84
24,27,28,30,32,25,118,64,90
0,16,3,7,40,77,50,59,73
0,22,3,13,48,22,32,43,56
4,14,6,30,67,69,54,7,56
6,47,36,4,22,32,44,67,144
1,28,17,31,52,69,32,93,34
6,41,31,39,43,28,69,44,45
13,12,31,45,29,37,50,71,51
3,9,18,40,54,4,99,87,40
8,12,8,42,70,73,48,39,22
45,2,15,62,45,72,15,54,18
0,78,14,1,44,38,37,26,32
0,11,57,49,36,41,28,76,15
17,12,11,43,62,35,41,58,101
10,35,14,5,53,54,6,44,68
5,14,12,39,22,37,50,55,29
0,21,13,62,15,51,16,91,24
11,40,13,14,68,50,86,33,46
9,22,11,34,20,38,137,62,23
42,12,2,29,3,25,17,74,64
21,17,11,65,65,5,51,53,40
7,43,19,54,27,56,20,71,60
17,37,29,20,43,42,73,53,95
0,42,39,62,58,50,22,62,35
26,9,29,20,25,25,61,22,95
0,24,25,20,17,83,79,37,103
0,16,58,39,58,56,77,71,47
0,59,46,10,19,38,53,107,27
5,3,24,15,50,17,50,74,88
16,31,31,32,30,46,65,49,31
0,19,4,57,25,104,12,18,32
3,11,43,27,18,29,35,51,60
11,34,10,39,16,36,44,39,42
16,11,3,20,25,33,79,91,48
38,11,25,7,16,53,16,52,63
4,4,30,34,96,21,75,14,129
13,27,19,33,82,109,58,29,74
2,8,20,6,14,81,32,32,80
22,14,40,72,12,56,6,71,27
2,26,48,72,17,57,41,58,81
7,15,34,2,19,26,34,6,35
9,19,37,33,62,27,37,46,108
45,26,19,18,42,28,39,85,55
9,9,78,51,35,24,35,85,97
0,11,25,20,11,60,54,44,59
3,22,23,26,8,40,102,49,98
16,28,21,23,36,67,59,51,112
11,38,46,47,12,45,41,74,12
8,31,39,68,36,30,28,84,85
0,11,24,44,27,41,62,57,60
16,16,4,8,44,94,57,100,47
28,9,33,10,69,45,38,115,39
4,25,35,39,58,94,65,25,113
0,2,17,6,32,16,84,42,67
0,18,35,40,16,28,50,47,67
19,6,33,30,48,24,35,77,37
8,28,14,15,10,41,25,156,109
0,47,23,31,23,22,42,57,68
2,3,25,2,12,6,87,72,65
2,42,19,14,54,50,29,56,24
23,24,24,86,18,63,23,34,45
0,3,5,21,29,36,38,65,111
22,15,50,32,88,43,87,34,21
0,13,13,22,100,50,89,108,79
29,12,2,46,5,79,74,35,38
12,9,48,13,13,32,34,98,113
37,2,2,40,18,33,71,87,29
2,2,25,40,54,27,29,32,86
4,24,2,39,82,54,82,42,66
25,53,30,96,62,57,47,80,57
6,47,23,54,28,56,41,104,129
17,59,44,35,45,69,4,30,65
8,3,24,4,27,27,79,78,76
0,26,54,31,2,40,41,61,132
0,38,3,42,25,34,41,45,27
0,7,11,35,13,36,106,3,45
0,4,27,30,9,33,109,66,100
18,15,19,49,69,77,37,92,8
0,13,26,24,13,23,115,40,29
3,6,15,36,38,44,24,60,46
7,13,63,48,20,52,62,62,11
0,67,66,81,53,9,84,79,74
29,38,3,3,12,26,29,54,109
33,4,24,31,11,18,97,73,42
0,13,39,25,8,85,137,83,70
0,4,17,45,24,100,54,18,51
0,8,11,38,110,19,61,62,9
0,0,24,47,21,49,54,64,49
9,37,22,87,10,30,49,77,56
9,37,24,16,38,98,15,40,81
28,50,50,36,15,87,62,53,64
0,34,11,35,22,104,25,30,24
0,19,64,87,56,56,48,44,111
6,43,38,36,41,14,53,41,92
0,20,59,20,91,16,50,110,32
6,7,23,11,30,70,78,59,11
7,9,23,13,29,27,11,87,65
39,13,26,25,85,69,51,48,20
0,0,14,34,38,67,91,32,35
32,7,7,8,40,16,42,50,62
13,37,1,52,7,31,24,51,79
7,7,13,5,47,80,132,76,56
5,72,31,79,67,102,51,42,25
0,26,36,42,34,4,73,104,54
0,38,3,42,38,22,94,31,191
0,4,39,34,23,26,75,46,44
0,37,22,8,13,38,92,48,98
13,41,7,19,55,2,103,46,76
0,5,37,33,92,23,26,88,124
4,11,33,39,33,42,26,38,24
13,4,32,44,65,59,39,39,24
4,19,19,51,46,4,187,100,31
2,2,28,24,2,25,42,31,30
12,6,13,53,74,60,92,59,50
0,31,22,57,18,81,76,59,86
10,11,20,17,25,26,47,50,27
37,15,13,7,44,17,88,101,51
8,9,45,23,29,44,57,49,38
12,41,22,32,3,27,34,86,109
0,33,45,74,59,74,67,123,49
26,20,22,27,20,97,31,18,78
34,9,11,38,16,41,74,38,89
4,9,10,70,53,48,31,88,38
0,11,7,20,20,48,39,62,45
0,2,3,45,48,50,64,55,93
0,9,9,35,22,127,38,120,78
21,25,3,9,25,58,33,56,36
0,16,2,6,75,77,39,105,40
0,15,1,8,11,11,54,34,60
0,11,25,42,80,20,52,75,109
12,5,28,21,25,43,55,125,84
3,24,68,58,53,69,8,31,72
4,4,17,16,35,24,74,52,79
5,2,2,89,20,39,112,6,27
15,8,35,35,45,64,94,47,56
0,14,31,32,33,16,46,33,86
0,37,7,71,6,41,11,42,64
16,22,12,21,54,38,12,32,115
37,3,27,82,50,82,81,29,83
10,4,25,57,97,12,39,39,48
11,27,26,65,31,32,38,65,49
0,17,30,39,22,41,123,64,26
12,11,38,28,32,36,27,27,96
2,21,14,30,11,29,12,75,83
4,9,30,56,28,43,72,33,63
14,26,26,83,12,83,127,31,112
12,18,48,46,16,137,6,22,77
20,3,70,31,61,41,8,78,46
3,28,28,39,64,12,16,74,48
4,21,16,22,16,34,73,85,92
38,61,11,24,26,55,27,94,32
17,17,13,48,48,60,14,38,96
0,14,27,92,39,13,8,42,39
14,2,6,35,21,17,57,97,75
5,16,2,29,13,17,34,46,67
7,12,17,30,18,56,78,36,20
0,6,20,6,19,68,66,98,36
18,51,4,24,24,33,63,143,113
6,10,14,33,20,24,77,37,97
39,21,21,21,70,31,29,83,10
1,9,20,21,28,51,80,91,125
0,4,19,47,72,71,12,115,32
15,17,16,40,2,62,58,33,45
10,25,16,12,60,86,50,66,60
5,64,9,29,18,53,77,51,39
9,23,14,13,38,38,38,87,43
24,30,2,35,53,28,77,75,50
20,6,11,32,78,69,59,112,55
0,13,36,109,52,42,55,50,38
13,8,22,81,18,5,8,24,18
2,36,47,36,28,105,25,40,85
0,18,24,18,8,12,45,81,87
0,4,4,30,30,47,81,107,72
0,9,29,29,15,51,47,63,40
26,4,37,15,98,41,48,86,37
0,57,39,29,13,61,56,68,55
6,66,66,2,28,24,64,41,93
28,1,32,43,56,11,35,48,33
24,11,19,92,16,86,44,109,49
1,35,11,19,42,39,27,23,24
0,43,46,42,22,19,29,30,39
0,45,45,17,44,46,42,76,50
19,20,34,14,11,26,26,32,90
18,29,62,41,10,22,62,87,72
5,5,5,9,30,29,49,61,93
0,30,1,57,61,19,60,30,42
0,30,2,7,29,16,20,75,51
6,9,40,16,12,71,12,26,90
3,12,11,31,80,83,49,24,22
2,22,51,35,19,48,5,63,81
30,20,48,31,19,48,74,44,57
23,31,59,13,49,35,42,74,32
1,26,12,27,58,57,65,112,54
8,7,7,55,40,48,38,63,47
31,41,3,42,68,39,23,58,29
10,35,45,16,17,57,22,48,89
23,7,39,40,36,37,25,53,64
68,1,49,3,32,11,25,51,24
7,3,73,26,37,48,69,5,66
1,32,20,85,56,56,67,74,40
0,1,23,45,55,20,38,64,99
3,25,53,1,41,63,64,160,101
25,8,30,29,13,98,49,32,88
0,28,30,16,38,16,48,49,25
3,3,7,35,21,102,64,19,23
4,20,14,8,6,50,16,48,72
9,25,3,35,11,33,47,49,63
0,37,16,19,9,20,63,15,62
4,15,12,59,7,75,63,92,48
0,32,32,13,24,23,76,24,64
11,20,30,36,5,27,33,119,43
15,52,37,31,11,58,8,94,125
22,39,6,22,28,32,21,36,42
14,1,30,15,7,45,58,28,72
0,23,12,25,23,70,26,32,55
64,35,45,15,41,74,39,67,23
0,25,38,60,20,55,11,36,75
15,5,9,62,16,11,41,10,80
9,7,47,7,82,101,31,45,42
4,3,20,75,36,18,39,22,84
21,49,35,28,60,126,54,60,57
8,23,58,24,35,30,18,66,40
11,6,44,2,51,47,32,51,66
15,21,11,34,43,35,23,61,33
11,22,22,57,51,39,25,27,52
0,15,15,20,17,77,32,62,44
9,13,11,56,47,19,64,58,79
0,22,69,43,17,1,36,76,87
16,56,11,23,46,73,20,24,131
13,19,19,19,8,32,18,56,69
7,7,34,3,18,32,25,70,16
25,5,52,23,34,29,132,132,54
0,13,35,40,36,32,55,37,52
4,12,38,10,18,16,32,98,21
7,8,23,48,28,41,34,48,126
9,26,25,6,16,72,104,63,59
0,41,17,8,21,22,62,48,110
0,17,79,56,25,26,91,15,72
7,56,7,39,13,22,71,93,39
0,10,3,62,61,64,27,20,46
9,5,45,23,62,66,64,74,72
5,14,12,36,57,36,109,101,102
0,21,18,41,56,91,40,98,99
28,19,20,32,91,63,53,67,38
17,4,33,84,36,30,53,55,60
14,2,19,12,40,52,48,82,120
5,55,21,72,72,22,92,28,14
15,15,29,30,52,18,108,57,61
12,5,18,18,8,35,21,35,82
1,16,12,20,76,17,47,149,100
7,56,6,48,38,40,88,2,69
0,7,2,3,47,106,46,43,52
34,35,20,35,40,60,60,89,97
21,37,45,15,74,44,104,20,65
3,17,42,32,59,71,51,60,80
0,31,8,17,27,20,52,81,63
4,46,50,65,65,34,47,58,80
0,28,44,12,43,76,78,75,50
0,2,15,25,21,36,139,46,42
0,31,1,59,47,33,73,122,30
4,14,8,32,56,65,46,123,83
10,8,24,6,23,102,104,45,51
9,26,9,52,52,56,46,71,114
38,23,19,23,26,42,37,67,96
0,21,13,2,48,76,10,89,86
0,5,58,49,38,31,13,86,60
7,48,15,8,6,62,56,70,19
0,9,8,18,12,46,31,53,46
0,21,21,33,33,36,24,68,82
21,8,22,16,23,23,8,30,39
0,8,24,76,58,11,44,67,55
10,67,15,19,38,49,67,74,12
9,11,85,7,39,21,7,28,28
17,25,35,44,36,37,75,89,52
5,77,27,31,29,55,47,63,55
9,16,56,14,52,8,98,75,49
17,46,44,6,25,34,47,44,81
0,44,36,91,3,35,24,65,6
1,22,65,71,23,46,61,49,50
0,14,46,70,38,8,15,104,31
8,7,22,14,22,19,31,96,74
0,18,18,59,26,47,49,80,43
0,11,27,23,21,33,18,80,42
0,19,79,20,24,79,46,34,67
0,7,21,14,22,15,14,30,74
6,23,15,13,22,35,83,58,81
1,14,12,15,61,30,24,29,17
17,18,55,18,68,34,62,111,83
0,33,51,21,32,10,53,9,44
8,27,28,44,41,56,44,122,119
42,12,12,42,49,84,5,103,72
4,31,29,15,36,22,18,63,22
30,37,31,99,40,23,86,43,65
5,18,27,46,12,28,126,84,68
0,14,16,61,13,25,93,77,82
2,25,3,38,49,8,48,49,77
0,23,43,52,39,77,10,44,26
1,50,27,1,83,40,52,46,53
9,27,22,39,37,45,56,84,58
0,28,42,45,25,59,51,15,151
0,0,71,33,33,12,38,22,81
8,8,20,36,45,33,98,50,90
13,11,12,25,23,44,4,67,27
10,22,18,51,24,53,60,62,123
0,12,4,74,16,86,26,64,46
0,64,42,29,18,59,88,97,44
6,24,12,3,30,31,40,57,67
14,34,25,25,46,22,15,68,39
0,5,42,33,59,51,13,21,143
14,32,4,20,59,5,32,14,33
0,11,17,5,11,57,23,119,74
6,44,18,26,75,85,32,97,76
13,4,104,24,10,58,20,79,127
4,45,15,29,54,33,99,103,56
6,21,40,8,66,105,13,110,18
11,43,23,31,11,54,22,24,1
2,28,28,8,27,51,39,43,11
23,19,14,29,61,97,16,45,94
17,68,39,14,26,36,4,56,46
12,16,30,24,8,42,42,45,127
5,4,10,28,49,9,39,66,31
9,9,17,90,122,53,10,180,77
17,18,30,17,30,12,38,41,53
2,45,11,39,39,63,28,56,105
0,30,3,73,58,53,38,59,32
0,0,1,19,88,55,84,25,36
7,37,20,24,38,39,110,34,11
3,21,85,43,19,46,40,47,54
0,39,24,61,27,69,28,27,36
3,2,56,27,27,13,52,47,99
4,29,32,12,2,64,45,50,6
41,22,22,11,6,22,46,54,91
0,0,16,30,26,58,2,80,57
22,8,3,68,21,40,22,87,83
3,85,30,24,30,5,87,63,53
4,42,15,29,99,75,15,78,24
3,26,7,47,20,13,21,42,53
0,25,32,36,93,29,84,16,116
0,24,22,17,59,21,49,37,82
9,5,5,13,18,36,20,34,62
0,6,19,52,22,48,131,50,86
19,19,9,10,21,47,60,28,53
7,7,20,47,70,43,31,62,75
0,36,45,15,17,43,13,81,35
16,18,44,33,85,35,37,92,69
4,18,23,32,10,114,47,60,21
0,57,28,24,13,58,14,89,99
0,1,1,62,65,82,36,61,47
0,75,36,34,22,21,88,57,12
20,18,17,22,44,73,85,89,31
2,31,31,35,61,47,30,12,25
12,1,34,15,55,62,66,63,52
8,8,8,77,32,6,52,80,42
3,4,22,44,15,57,15,27,84
3,22,41,44,108,41,14,43,60
2,7,29,18,25,44,20,75,82
20,33,62,31,74,56,75,27,19
0,22,7,9,37,43,21,67,11
2,21,74,2,20,51,28,78,132
5,23,37,28,35,59,9,69,57
2,15,48,55,14,57,84,51,66
8,12,7,52,41,73,10,97,29
15,4,4,25,16,120,58,32,59
33,78,36,30,36,104,53,19,117
10,18,1,16,18,44,51,35,17
0,43,33,24,39,103,106,19,45
15,39,13,16,15,35,30,33,43
44,10,11,18,23,55,77,61,59
3,28,33,30,52,32,46,53,52
13,7,5,69,32,41,35,26,70
7,4,39,80,55,90,51,18,101
5,3,35,73,69,19,46,43,69
43,10,10,57,13,65,68,71,61
0,7,30,26,27,54,13,40,73
0,18,11,31,52,49,84,124,95
9,10,29,69,52,112,8,84,57
12,23,47,24,62,31,80,21,97
16,11,83,25,47,55,92,68,11
20,5,6,20,73,12,5,83,74
19,27,46,9,79,41,57,93,62
4,14,45,45,45,43,88,51,53
0,2,17,59,28,34,68,91,20
5,62,26,9,59,73,45,122,48
2,11,8,29,3,40,43,37,21
0,15,18,2,74,62,25,28,59
10,2,4,6,32,61,56,52,94
14,50,19,43,43,48,58,80,61
5,11,42,55,47,91,81,68,46
0,3,43,14,48,26,21,43,60
3,2,20,25,21,53,34,128,27
7,51,14,29,26,59,15,75,148
0,23,23,11,25,43,37,23,39
1,28,7,39,62,56,22,77,89
10,1,42,44,64,43,88,32,47
4,8,32,36,23,42,54,70,55
7,8,21,52,43,96,16,93,36
3,31,1,35,35,41,59,132,102
28,33,39,12,40,65,32,96,39
9,27,49,18,36,46,57,88,48
5,30,24,14,44,12,112,54,28
17,31,47,88,59,25,51,31,34
13,15,26,5,16,53,26,77,72
0,39,20,60,77,45,36,89,51
0,70,11,36,23,2,53,102,84
0,8,8,4,33,11,65,45,82
0,35,30,30,47,52,79,69,66
2,46,8,63,29,68,94,135,77
14,39,27,28,109,69,17,86,51
8,8,27,1,17,16,28,46,19
4,18,31,50,11,89,36,64,12
15,15,47,7,33,103,48,109,51
0,17,24,80,37,12,63,43,30
0,63,27,23,54,14,23,73,19
23,5,37,44,3,67,37,27,112
5,24,24,32,18,67,85,61,56
14,48,22,62,19,37,43,73,25
19,11,33,33,23,39,50,89,95
34,27,13,25,62,6,89,7,69
15,22,76,3,53,27,36,21,109
37,38,4,41,8,34,91,68,43
15,7,3,36,31,74,58,36,34
5,36,14,86,37,16,66,60,87
31,17,34,9,4,62,47,60,152
33,19,8,19,33,75,40,91,44
15,4,4,14,41,41,94,73,53
0,3,23,51,24,113,48,1,56
17,14,15,46,26,28,60,26,16
12,40,18,105,65,14,70,29,77
0,15,17,31,6,50,85,112,115
0,33,14,33,38,94,69,54,18
0,36,37,48,2,40,66,90,78
6,47,8,38,18,58,41,46,201
0,33,25,2,53,32,116,10,80
0,39,13,38,22,39,47,164,30
26,14,66,65,27,62,72,88,27
7,48,30,17,24,66,47,34,73
17,10,20,18,64,30,41,74,52
6,30,10,42,61,75,49,46,52
0,0,9,24,87,18,62,46,50
0,74,2,6,62,27,22,95,125
5,25,25,72,25,19,81,92,28
0,9,24,20,23,97,43,19,23
20,9,38,45,22,2,24,44,30
5,5,40,22,26,52,50,22,89
0,19,28,40,32,97,76,17,81
0,25,49,16,16,21,10,89,112
18,15,6,28,98,33,45,49,33
42,6,44,40,1,44,59,43,69
0,16,41,22,41,40,73,69,82
4,20,8,23,17,16,111,48,90
63,31,57,121,65,66,19,45,98
0,0,31,65,21,72,38,95,49
4,77,46,12,74,9,42,14,102
8,15,29,45,26,56,56,43,81
0,6,101,46,60,36,81,140,92
0,0,20,49,32,64,42,90,98
19,11,51,17,64,104,107,70,66
2,25,23,21,22,87,2,35,77
11,11,45,26,83,19,2,67,123
0,43,24,24,35,22,35,85,38
5,70,18,80,40,86,64,80,57
27,27,11,37,87,129,98,89,17
0,23,8,12,35,32,57,43,58
14,6,21,5,8,9,68,44,61
0,36,37,36,11,74,52,50,184
22,19,26,48,55,24,55,64,102
7,25,21,2,25,3,74,101,87
0,36,30,24,54,41,42,29,76
3,5,11,33,24,17,70,153,49
30,3,65,2,44,89,42,63,53
34,33,22,27,40,48,53,86,33
23,52,1,22,6,28,52,8,25
8,2,32,47,35,68,76,29,77
0,27,24,27,28,3,80,89,45
3,8,10,32,5,92,28,32,49
5,15,3,10,24,47,37,24,68
12,25,14,49,59,14,25,64,87
0,0,57,20,2,7,94,33,58
4,8,32,27,25,64,20,96,54
15,25,2,17,66,47,71,163,89
0,5,12,111,34,27,57,51,43
4,10,47,14,47,33,80,64,25
3,7,16,25,46,52,107,96,64
0,2,5,23,33,16,22,68,79
0,4,13,56,31,45,20,112,70
52,27,31,32,36,61,50,85,82
0,5,34,82,69,66,36,106,68
0,19,60,52,67,34,65,57,79
0,15,36,47,9,33,11,60,134
0,28,36,36,10,46,82,97,135
12,19,72,72,49,13,17,59,107
2,7,47,24,7,15,57,51,107
14,54,19,38,69,13,74,41,49
7,41,47,17,27,56,42,56,66
0,22,19,12,9,10,36,34,55
24,50,50,16,2,36,17,71,69
9,4,4,68,3,53,91,10,66
0,41,4,22,26,86,34,32,84
9,21,20,60,41,52,26,34,18
0,35,49,10,9,51,122,21,90
22,16,12,59,9,21,23,50,55
0,3,6,14,83,52,20,137,71
14,11,9,51,20,37,73,52,78
10,41,61,38,53,30,28,62,61
1,23,32,37,47,11,20,77,63
0,26,23,56,46,45,20,42,45
16,26,4,47,55,117,77,69,101
1,6,17,7,24,49,37,59,30
27,61,40,78,61,105,80,74,79
0,15,13,4,50,7,22,50,78
0,2,35,3,11,102,15,97,72
3,16,3,10,45,40,117,40,121
11,4,4,19,27,16,101,62,41
9,9,19,14,18,20,112,49,23
1,10,9,11,73,34,35,52,37
6,5,45,42,12,52,104,78,52
0,10,34,13,27,34,75,54,76
6,46,22,31,44,47,68,44,108
39,42,42,33,24,110,51,48,65
3,14,54,20,24,53,59,67,42
12,22,10,32,7,33,105,93,103
0,8,64,2,73,73,23,71,15
14,25,18,40,36,46,76,4,39
6,19,6,41,50,87,66,32,38
5,5,12,38,70,96,41,43,52
0,12,13,46,121,37,11,28,55
21,38,21,15,15,32,52,52,72
0,53,68,27,81,67,62,65,29
0,12,11,30,68,42,68,121,103
18,16,72,25,10,58,8,52,11
0,16,15,21,43,27,71,50,35
13,19,23,32,58,42,13,63,34
60,27,13,57,17,26,57,67,87
8,12,50,61,62,88,24,5,65
17,77,60,25,25,95,34,19,95
4,13,13,40,31,32,47,95,84
4,23,9,38,9,29,60,53,35
9,12,8,27,79,69,50,43,29
11,22,57,63,28,51,51,48,26
4,12,20,20,32,51,61,32,40
22,21,58,34,26,136,48,66,93
6,58,5,17,5,51,138,82,49
22,60,64,46,93,33,91,25,101
0,25,29,25,6,36,30,44,98
15,16,30,16,18,31,91,17,67
25,35,20,79,41,53,57,57,46
11,47,10,52,57,23,76,37,85
0,12,14,47,6,61,53,75,78
12,15,1,15,39,54,25,62,100
3,1,39,70,48,34,4,78,37
4,4,27,27,41,40,23,113,17
38,15,29,43,29,76,22,59,74
32,14,10,10,37,82,8,47,67
43,13,19,29,51,48,27,22,66
13,6,18,34,45,44,37,35,89
0,0,3,25,58,39,77,27,25
44,14,31,12,44,14,87,53,89
15,2,28,19,38,20,93,43,133
2,13,12,8,16,35,58,54,35
11,31,30,72,36,54,42,52,80
19,19,2,130,29,62,61,61,168
15,17,24,28,65,31,42,92,81
0,8,3,51,33,32,120,55,55
17,22,10,17,77,40,34,56,100
6,69,12,54,70,68,81,25,52
4,54,32,32,22,48,58,52,63
25,16,29,15,29,47,57,42,140
5,13,81,59,43,63,25,63,73
0,31,42,76,6,34,46,48,47
12,28,20,29,30,20,29,58,92
0,1,14,24,35,40,21,82,66
0,16,28,38,77,76,23,130,31
3,29,29,10,46,38,51,95,59
8,18,51,2,68,10,38,10,92
0,0,39,29,29,54,33,76,64
3,31,31,30,32,32,40,19,83
0,22,22,40,41,73,63,45,30
0,37,1,32,26,74,57,43,75
0,2,23,4,30,22,10,34,101
6,3,3,35,36,70,66,77,28
9,9,48,27,37,18,79,74,51
15,25,24,4,57,59,24,75,125
0,21,26,12,31,114,15,47,63
0,78,10,8,15,1,40,58,30
0,3,28,70,18,30,108,95,105
20,20,15,9,32,78,44,19,46
6,24,22,11,19,64,41,98,76
11,47,59,40,17,69,68,62,102
31,50,24,25,65,36,53,41,108
0,58,20,33,41,29,62,38,34
1,36,23,8,7,60,16,35,48
2,28,34,60,8,73,95,75,60
0,28,17,21,4,31,34,36,38
0,10,14,12,77,9,39,45,73
27,27,22,72,17,28,99,21,90
0,28,28,28,76,61,51,180,52
4,3,19,22,55,34,54,74,60
6,13,35,32,36,41,25,64,33
23,31,5,3,29,42,39,82,60
0,2,6,22,37,19,49,48,36
35,15,22,39,11,59,30,67,84
0,33,46,20,11,91,47,83,44
0,19,24,6,75,36,93,58,31
13,23,1,13,10,6,40,96,74
20,58,23,43,74,64,30,70,65
3,17,10,10,13,25,34,90,68
17,36,39,9,42,51,118,55,62
3,11,11,49,31,33,89,40,26
6,24,35,32,72,6,35,101,23
47,10,11,75,41,78,82,77,75
16,5,3,22,14,48,19,55,42
10,4,4,45,10,44,56,45,72
7,7,20,18,37,47,41,59,112
4,34,8,37,16,18,60,114,15
0,19,40,18,40,26,66,108,35
0,3,59,9,45,131,54,23,61
10,26,12,16,47,2,27,41,130
28,27,24,76,18,31,18,23,123
9,6,32,42,51,23,56,88,58
9,3,26,48,47,40,63,51,38
4,10,19,20,68,58,75,75,24
17,29,7,18,30,42,42,8,84
0,14,58,61,50,42,33,41,54
19,72,53,12,3,32,68,59,26
0,41,8,16,93,28,50,66,55
11,14,30,22,39,54,68,64,93
6,35,44,90,106,25,95,63,60
5,5,7,29,27,10,34,38,65
0,17,2,22,22,10,65,51,98
12,10,28,27,41,50,26,113,135
2,7,6,45,70,21,28,81,41
7,24,97,31,36,70,35,45,46
0,5,5,36,30,25,55,15,16
7,23,68,18,18,46,47,86,29
12,16,25,15,71,70,65,48,77
23,11,35,12,52,35,74,9,111
19,50,14,30,12,11,29,24,34
13,13,42,8,39,44,81,59,146
0,31,7,24,45,33,46,53,36
0,0,42,24,34,33,61,89,91
0,10,13,46,26,41,58,70,40
33,55,5,109,41,71,41,56,78
8,3,28,48,45,64,73,82,88
3,14,27,35,7,51,37,20,66
0,11,13,29,15,33,24,42,42
18,44,12,58,11,33,13,98,13
0,4,16,43,34,27,40,34,138
0,5,46,40,11,70,34,56,82
13,7,16,7,44,49,14,78,69
37,10,31,10,17,23,84,12,118
0,3,19,36,25,23,21,45,38
5,6,46,34,64,17,105,48,51
27,21,27,14,1,58,66,124,126
7,24,21,64,78,45,1,141,98
39,18,17,20,63,104,44,88,39
30,40,40,5,21,54,30,21,57
0,3,49,24,29,65,71,107,60
22,22,49,15,10,142,70,97,123
2,11,41,35,3,121,58,37,63
28,4,50,21,67,116,41,21,68
20,31,19,31,39,10,91,52,41
21,19,60,39,41,33,45,61,81
32,32,14,13,51,90,86,56,65
33,14,43,24,19,15,35,94,27
38,38,10,97,38,5,43,88,39
5,7,62,31,10,51,51,59,11
1,18,24,9,51,54,20,34,47
0,8,40,16,1,60,68,80,77
0,33,7,45,14,43,33,41,73
4,31,21,3,13,42,36,63,57
18,4,64,33,92,56,99,31,36
2,2,27,20,23,71,93,75,63
1,15,1,31,34,59,59,17,75
0,1,27,44,49,23,71,61,50
3,74,57,51,38,33,14,79,54
17,17,33,39,34,27,37,26,95
16,2,6,36,86,69,37,87,140
0,18,6,37,53,27,14,42,124
0,48,24,34,14,28,46,27,45
0,22,21,43,51,52,59,77,63
7,7,42,3,34,54,52,34,61
2,31,25,41,23,55,101,56,31
47,44,39,38,42,32,7,53,55
0,6,24,108,58,64,70,28,89
18,6,28,2,31,44,23,124,96
8,3,21,35,41,46,63,81,34
17,26,16,30,21,65,10,92,54
0,3,9,18,6,22,36,133,48
3,44,11,14,19,43,37,57,66
12,7,40,22,20,11,41,74,137
4,19,13,26,44,21,23,42,107
16,5,11,26,11,60,49,74,38
0,3,38,24,49,42,48,40,91
21,47,15,84,62,31,69,51,17
0,21,17,41,17,12,83,43,40
0,25,26,61,34,33,23,29,87
11,31,52,39,47,16,11,41,85
0,24,24,34,66,114,19,43,22
15,27,39,52,32,36,53,63,49
5,47,9,46,33,111,57,168,42
0,14,40,35,41,62,64,56,132
