"A","B","C","D","E","F","G","H","I"
0,4,7,15,2,20,16,5,23
1,4,9,6,18,13,23,23,18
0,6,4,0,10,13,6,20,19
12,1,14,9,23,15,19,25,20
3,3,12,1,8,16,31,22,36
4,8,6,8,16,10,18,19,57
3,9,0,15,9,21,13,35,30
1,9,1,4,19,15,25,14,10
3,14,0,0,13,5,25,42,18
8,6,13,6,12,29,12,20,29
4,3,4,6,0,14,16,11,12
0,17,10,6,13,13,25,20,17
5,8,8,3,21,11,20,19,9
6,8,9,23,28,17,25,18,14
2,6,3,5,14,5,30,33,11
2,18,2,9,17,10,13,16,38
4,8,21,8,18,18,24,5,17
2,5,3,13,6,13,2,14,39
6,7,13,10,16,15,20,33,21
10,13,5,11,10,22,12,16,31
0,4,6,0,7,17,20,16,27
0,8,10,4,35,21,11,22,34
3,7,5,13,3,17,20,28,20
11,4,20,14,28,0,11,25,16
2,2,24,2,4,14,18,33,21
0,9,4,12,14,39,11,11,12
9,5,11,20,2,10,20,29,15
2,0,9,5,3,19,14,44,19
10,14,7,7,10,14,13,17,21
7,5,36,12,6,6,16,9,23
0,12,8,12,9,32,31,14,23
2,4,7,18,9,27,25,15,11
2,12,3,12,16,15,18,26,7
0,12,12,28,18,12,20,11,21
3,1,13,4,14,19,24,10,27
0,6,7,4,23,29,18,18,15
0,4,15,2,11,16,21,14,23
6,8,8,9,6,16,4,16,27
0,6,3,20,15,20,18,40,14
5,9,5,21,1,23,11,26,15
6,13,2,5,9,15,2,18,15
10,2,2,2,16,8,9,20,10
3,7,13,20,18,9,19,16,12
4,3,3,9,35,18,10,25,16
0,10,6,9,15,13,19,27,6
1,2,6,12,33,14,11,26,6
6,4,23,9,3,15,23,20,45
0,4,0,4,23,9,22,19,19
0,2,8,7,0,16,7,26,20
2,4,23,0,15,13,24,16,11
5,1,21,22,9,9,16,3,22
8,1,20,6,6,21,19,26,21
0,6,14,0,11,1,17,26,16
3,12,7,25,20,12,19,37,27
4,5,6,4,11,6,11,43,11
0,10,6,4,15,4,8,27,29
0,23,0,2,19,16,31,8,33
3,12,13,11,5,12,23,7,8
7,0,4,8,10,13,23,23,14
3,5,4,6,22,39,12,27,7
10,6,13,6,14,8,19,16,17
0,7,3,8,8,26,18,5,10
2,5,13,6,17,11,18,17,27
3,0,7,13,13,22,9,17,16
0,9,12,10,9,11,23,18,41
0,0,6,12,17,36,17,11,18
5,5,10,19,13,14,29,23,43
0,1,3,26,27,5,22,7,18
8,5,0,11,6,28,12,16,24
0,18,7,10,12,7,11,7,15
3,3,4,9,15,19,6,28,14
0,9,17,25,10,14,11,29,15
9,16,7,3,11,10,27,28,12
1,0,5,4,9,14,18,17,13
0,0,0,31,12,17,8,11,37
2,10,6,3,16,8,19,17,36
0,0,28,10,19,32,21,15,21
2,2,24,7,9,15,17,14,27
3,18,2,9,4,11,5,29,39
0,11,9,9,18,5,6,29,34
0,9,8,11,7,11,32,18,23
0,1,4,13,11,33,17,32,11
16,4,8,1,13,24,16,31,17
1,1,5,27,11,24,19,25,40
0,9,7,11,5,8,28,29,21
11,10,2,8,4,2,8,35,26
8,9,4,10,13,13,9,24,14
0,18,9,9,7,10,6,37,21
0,0,19,17,2,31,6,22,22
3,18,20,0,9,11,25,19,21
6,3,14,26,5,20,17,18,20
0,8,0,1,11,22,26,13,18
1,4,2,17,16,16,11,22,21
2,5,10,0,16,10,19,25,15
0,11,26,31,6,18,5,14,0
14,9,6,10,13,11,19,24,32
4,2,14,16,10,2,20,16,16
0,14,2,15,10,32,23,17,32
0,3,8,35,12,26,25,14,41
4,4,9,2,18,9,21,11,24
4,5,6,6,27,6,20,27,17
0,7,22,2,28,16,13,10,20
0,13,4,4,16,28,16,26,18
3,23,14,11,12,17,13,14,18
2,5,8,20,10,9,20,15,30
2,6,5,8,5,7,11,19,10
0,0,7,24,10,6,10,17,11
0,0,7,15,17,0,8,37,31
6,12,6,8,15,15,16,22,35
1,12,6,19,6,5,16,13,16
4,5,0,8,13,26,22,36,32
1,4,0,8,15,26,17,20,11
0,4,3,8,6,12,11,14,3
5,8,10,17,15,16,18,17,9
6,1,11,4,5,32,11,24,28
7,3,5,12,13,8,13,26,14
0,0,4,3,5,3,30,25,29
0,5,7,19,10,13,1,28,22
9,12,7,15,14,33,14,19,13
1,6,11,4,10,12,16,26,37
0,9,11,7,26,26,38,28,22
0,8,7,3,15,22,9,42,19
3,5,10,7,25,18,15,12,25
0,9,4,12,18,7,24,22,28
0,0,7,8,8,14,12,23,14
2,2,13,19,19,18,28,19,11
7,13,4,2,10,22,2,41,24
0,13,9,16,3,1,15,27,28
0,11,3,21,20,11,12,24,16
2,4,1,5,6,5,21,12,13
0,3,9,9,14,12,29,15,27
1,8,2,14,6,10,13,12,11
3,9,3,15,4,21,33,32,17
2,15,0,3,18,13,4,8,25
0,3,9,12,26,20,18,25,18
0,0,0,17,5,12,36,18,16
2,9,4,24,18,10,13,21,15
8,8,11,17,7,27,29,17,44
6,6,9,19,5,3,23,4,12
1,5,3,9,10,13,16,16,29
11,4,3,7,3,20,25,5,24
0,15,11,7,11,23,13,10,22
0,22,16,2,24,10,6,17,13
9,5,13,23,4,17,22,42,31
1,11,1,0,10,11,5,17,30
2,8,9,5,2,11,31,13,28
6,0,3,10,14,8,23,9,21
6,5,3,11,7,13,23,11,31
0,17,3,10,9,16,18,42,13
9,7,9,12,13,17,12,17,27
15,9,2,4,13,16,22,1,39
0,2,3,5,15,16,6,14,32
0,6,7,9,11,10,16,15,14
1,14,5,9,20,1,12,14,30
4,15,2,12,17,2,15,9,22
1,20,4,14,2,11,10,19,24
0,4,10,21,14,16,12,15,16
0,14,23,1,15,9,21,27,35
3,1,21,3,10,13,14,17,12
0,6,25,1,12,25,8,7,17
0,10,9,13,10,12,19,35,16
0,9,9,22,15,19,22,29,24
0,2,12,8,25,7,26,24,23
1,4,9,17,24,13,6,19,15
5,10,3,7,28,24,19,9,16
8,10,9,11,10,7,5,31,19
2,10,3,4,9,12,18,35,36
4,5,3,7,14,9,17,28,22
3,4,5,14,8,4,17,8,20
2,5,11,12,19,11,5,9,20
2,11,6,6,26,36,36,19,17
3,4,9,10,22,6,4,19,24
4,4,7,3,9,23,16,23,18
0,6,4,6,2,11,20,17,8
0,5,12,14,9,6,14,29,14
0,3,12,3,19,24,23,49,17
16,17,12,9,4,20,14,5,15
5,11,5,23,3,8,12,46,29
9,4,0,26,3,20,12,23,13
0,6,12,5,22,15,17,33,22
0,4,11,40,22,7,40,7,15
4,7,22,5,1,23,22,12,15
8,2,11,15,17,23,6,35,44
2,1,5,9,8,29,10,27,5
5,2,14,26,12,15,12,22,10
0,6,6,8,15,15,6,31,20
4,1,5,3,24,4,4,25,15
0,6,0,21,8,28,4,18,15
8,12,12,3,8,29,22,13,18
5,12,7,11,42,14,21,9,21
5,6,9,30,12,10,16,12,9
18,1,2,3,2,9,34,18,21
3,2,14,27,15,8,22,12,16
0,4,6,23,2,3,14,16,21
0,15,16,17,8,13,12,16,34
0,7,5,22,6,19,8,13,20
1,0,11,8,11,17,17,41,32
0,3,5,7,15,18,29,17,18
4,5,11,16,11,7,32,22,20
3,8,0,11,9,8,16,11,13
7,12,7,14,16,8,9,18,9
3,13,8,15,5,9,29,18,28
3,1,10,6,6,18,17,20,22
7,11,10,4,9,8,26,26,16
5,4,7,11,18,19,13,14,13
0,7,16,9,6,11,6,9,20
0,4,12,9,14,23,24,18,14
6,6,14,5,14,13,33,13,24
2,16,18,3,2,14,27,12,15
7,3,5,9,11,13,18,29,15
2,2,9,18,11,5,16,37,28
4,16,10,3,3,19,22,33,18
0,3,10,6,10,5,10,15,11
2,7,10,18,17,13,18,15,14
10,10,0,13,10,18,11,26,27
6,7,13,3,5,5,15,30,29
0,4,0,4,3,12,14,24,26
0,6,8,12,10,11,16,20,17
2,1,11,17,8,11,20,24,21
9,3,4,15,13,14,11,18,20
7,6,6,14,20,1,25,11,36
6,15,0,24,8,36,29,18,20
4,1,6,11,20,19,13,17,18
2,6,8,4,4,19,25,10,28
0,0,10,19,18,11,27,6,10
0,17,13,14,11,32,9,30,15
0,2,2,1,13,4,19,26,16
0,3,24,22,29,13,29,18,16
6,11,4,12,30,24,23,13,14
0,10,4,31,4,13,24,20,21
5,8,12,10,14,13,36,9,24
0,2,21,11,5,22,23,13,32
5,7,7,3,6,4,13,15,27
0,11,25,3,17,24,14,21,19
0,14,4,11,15,28,25,10,27
0,14,7,8,6,19,29,13,14
0,3,13,14,7,7,14,11,9
0,14,0,23,7,10,23,22,32
4,3,12,13,19,16,18,22,36
6,2,12,17,19,27,14,10,27
2,3,6,14,34,23,8,19,8
0,27,15,20,12,26,13,23,13
8,8,8,11,3,14,25,6,22
3,7,5,3,6,2,16,11,9
4,3,4,6,18,5,17,19,14
0,11,8,29,4,6,25,28,24
0,5,16,4,2,10,12,10,24
5,10,8,0,11,3,24,14,10
0,5,17,8,11,4,7,17,14
4,2,1,26,12,13,29,27,29
2,12,8,3,19,15,9,32,35
4,6,4,15,13,22,22,22,16
0,12,1,8,13,5,5,19,16
5,16,7,6,19,9,5,18,9
0,7,5,11,21,14,30,18,27
3,8,8,3,15,26,3,6,14
0,4,7,3,23,3,28,14,30
0,15,3,0,13,22,11,15,48
7,1,4,12,10,13,14,22,30
0,4,21,3,12,19,17,13,29
9,6,19,14,12,4,10,11,13
3,4,19,24,22,15,20,22,22
0,3,2,16,8,12,11,31,38
0,4,5,10,11,30,21,19,28
1,20,12,18,0,14,15,12,7
11,14,4,7,9,6,17,14,15
6,10,2,13,8,19,17,16,32
0,2,8,22,15,12,14,37,34
3,13,4,11,21,13,11,11,29
13,10,9,0,27,24,12,35,8
3,20,2,10,15,14,20,32,26
0,12,0,15,9,5,8,18,22
0,0,11,16,12,21,30,8,22
2,2,12,10,12,23,27,32,20
0,6,16,4,4,25,12,21,6
2,3,3,0,1,18,21,23,18
0,9,3,2,23,29,5,14,17
5,2,4,10,8,19,27,13,25
0,2,2,7,10,25,15,10,23
0,12,7,15,6,6,28,44,10
0,4,19,7,8,19,9,17,24
0,6,3,15,14,15,34,5,14
0,5,9,9,14,8,20,13,33
2,20,13,25,7,7,23,17,39
0,13,21,2,8,21,36,10,27
6,20,15,4,17,9,23,18,18
5,22,0,12,18,32,19,13,40
2,0,13,6,15,25,26,38,27
5,11,6,10,18,13,8,23,15
0,17,0,5,2,13,10,28,23
4,12,10,12,11,4,36,23,42
2,3,14,10,7,11,29,20,12
4,3,11,17,15,21,4,15,16
2,10,0,3,25,22,26,15,13
0,8,6,3,5,9,18,17,25
15,13,5,6,25,8,17,11,26
0,7,13,10,12,17,10,9,11
3,10,13,12,16,12,17,9,15
3,19,1,7,14,4,27,10,27
0,6,12,6,9,7,17,19,43
2,5,30,19,8,19,3,14,19
0,4,19,4,6,3,13,41,16
0,6,5,12,8,13,26,24,28
4,13,7,21,4,32,15,5,23
2,17,2,14,11,8,14,18,25
8,0,10,7,12,8,11,13,16
0,6,5,16,9,6,14,10,22
0,16,2,19,14,13,20,12,9
5,12,5,8,3,13,16,5,24
4,1,22,13,16,19,26,24,30
3,0,4,7,14,16,12,21,5
0,10,14,12,19,23,22,15,19
0,0,11,18,19,6,15,16,37
2,6,12,1,27,10,20,28,45
0,7,5,4,19,14,16,19,5
0,7,11,6,12,17,9,13,13
3,1,8,15,8,13,14,18,33
3,2,6,0,10,14,18,30,43
0,0,19,11,7,7,24,13,34
3,9,6,11,14,12,14,7,41
0,0,19,0,15,22,13,26,27
0,22,14,11,4,11,31,6,13
7,25,4,43,4,10,11,17,8
8,11,9,9,5,19,12,18,15
0,14,6,20,24,9,15,16,21
0,9,19,17,15,30,11,7,16
4,14,4,17,18,7,1,31,12
4,7,0,11,5,13,20,32,20
5,5,4,24,13,8,13,9,37
6,3,8,14,10,19,18,14,11
12,14,1,16,13,13,12,23,16
1,13,1,3,9,14,2,12,20
1,12,8,24,24,28,17,25,10
0,12,7,15,15,18,24,12,35
0,7,16,4,18,21,16,13,43
6,8,9,3,24,9,22,29,36
0,5,4,17,14,14,2,9,27
7,7,2,14,15,18,12,13,34
4,2,6,13,19,2,9,10,24
2,0,5,11,5,7,16,12,10
3,12,0,10,3,24,27,21,13
0,14,3,15,18,19,16,39,41
3,1,13,9,33,30,7,39,9
0,2,2,13,5,20,24,47,15
0,13,11,9,15,14,6,23,18
0,1,7,12,11,7,33,35,8
0,0,6,5,9,7,8,16,12
4,12,19,7,9,32,9,16,26
0,9,10,4,16,12,5,35,35
0,8,3,25,9,11,16,12,18
17,8,13,26,13,13,27,5,25
6,3,10,24,22,19,15,33,15
0,5,3,7,2,22,13,36,15
0,1,16,9,1,6,7,13,25
1,20,5,12,1,36,12,13,21
8,3,7,7,18,5,34,29,9
0,12,18,6,14,16,25,16,20
0,3,1,5,13,14,30,31,21
8,0,4,1,10,12,21,23,3
5,19,4,32,25,26,31,20,37
0,4,3,2,14,20,31,5,28
0,9,9,11,7,28,16,23,24
0,6,11,17,22,11,7,35,40
4,2,11,18,22,21,14,34,10
3,5,11,22,7,13,11,10,39
0,1,7,1,21,7,23,6,11
1,5,4,26,11,34,23,10,36
0,2,6,16,18,21,10,36,18
1,7,2,15,8,24,4,18,33
0,9,4,1,22,7,17,22,41
2,10,10,18,4,15,4,38,23
3,1,7,20,12,5,21,12,12
0,11,9,4,19,8,31,22,19
0,9,3,0,8,10,19,19,39
4,6,25,11,5,6,25,25,33
7,5,14,13,6,26,24,9,30
0,6,0,0,10,10,3,20,20
0,9,8,13,6,15,2,19,19
0,7,4,24,6,9,22,24,18
1,6,6,2,7,18,7,6,36
10,9,7,1,8,7,18,10,10
1,1,14,10,5,10,23,12,14
6,5,10,8,9,16,13,25,29
0,4,8,13,11,10,8,19,22
0,1,7,8,11,2,4,19,16
0,8,8,19,14,1,14,16,29
3,1,2,17,5,14,31,12,17
4,10,13,6,4,17,3,31,28
4,22,9,9,22,4,13,18,28
4,12,12,7,11,14,1,21,11
9,3,2,25,7,29,19,9,18
5,3,0,20,16,9,22,10,21
7,8,6,8,10,17,17,10,18
10,0,10,8,14,41,27,22,26
0,5,14,13,21,20,12,25,15
8,2,1,17,13,10,14,18,64
10,0,6,6,5,25,14,7,26
6,7,9,27,10,26,14,0,15
0,3,9,4,4,19,24,37,13
0,3,2,5,17,9,16,10,15
0,19,6,6,23,27,17,13,41
6,4,15,11,13,8,25,18,29
7,9,12,7,18,18,17,4,30
3,12,12,4,24,16,15,19,20
0,12,1,8,8,5,8,13,18
0,8,15,2,21,5,9,19,23
3,12,2,8,29,12,22,8,8
20,7,3,15,12,25,9,11,26
4,4,8,20,16,18,14,20,18
2,2,19,8,8,18,15,18,21
0,15,5,25,9,5,21,19,24
0,8,9,6,13,14,19,25,19
10,14,16,26,7,12,13,24,23
5,2,4,8,14,14,23,26,39
0,1,3,33,22,16,6,20,15
0,14,3,7,17,6,10,4,33
0,2,15,5,14,5,18,37,15
3,0,7,11,18,10,12,21,20
2,9,5,9,1,11,20,20,23
11,5,21,7,27,12,47,20,33
8,8,22,27,14,18,13,19,24
0,9,5,15,16,8,16,23,28
0,10,6,4,6,28,16,13,14
0,0,3,12,7,13,16,29,8
0,21,3,22,9,16,16,30,6
2,4,4,7,12,13,5,40,24
0,12,9,6,3,7,3,22,21
3,9,13,5,28,2,37,50,29
2,2,12,12,29,31,5,34,21
0,6,4,7,12,7,15,28,24
0,5,6,19,3,26,6,11,16
7,23,6,4,5,9,21,18,12
8,8,2,5,11,19,8,17,20
0,8,6,1,5,26,18,18,22
10,10,3,16,19,15,27,17,13
3,3,3,9,17,9,24,20,14
0,4,12,7,27,18,26,5,13
1,12,0,19,12,2,9,20,10
0,0,21,15,9,11,14,11,37
0,0,12,13,18,10,20,10,16
2,4,1,22,6,15,12,22,20
11,14,6,21,26,10,15,19,18
0,11,9,4,28,27,43,30,19
9,11,3,18,8,23,5,4,12
0,2,11,19,16,17,20,15,17
11,4,14,16,15,10,30,30,23
4,2,7,12,2,12,29,20,26
0,10,3,14,9,8,26,16,34
7,9,17,6,14,21,15,10,16
0,11,1,19,30,11,19,38,15
0,19,4,28,1,29,10,26,16
6,7,2,12,19,22,17,22,33
5,14,3,15,15,33,20,8,23
1,1,8,19,5,15,10,19,2
0,11,6,5,13,16,8,11,26
2,9,13,24,13,12,10,17,3
2,15,8,7,7,2,10,27,33
5,6,6,16,8,7,16,16,14
5,11,4,12,20,15,22,36,36
0,6,12,9,17,12,15,32,36
5,6,4,1,27,18,18,15,45
2,9,0,5,7,0,4,9,13
4,15,11,26,12,27,41,25,15
0,16,0,1,7,25,17,20,20
16,5,12,29,16,13,10,17,16
4,4,12,14,4,7,23,22,15
23,6,5,21,4,5,11,8,17
0,1,13,2,8,15,17,17,23
5,3,9,11,7,6,28,15,28
0,9,22,2,9,11,11,33,25
7,8,6,7,6,8,23,26,37
0,6,8,11,6,33,23,15,26
0,10,16,1,9,12,10,34,16
8,0,7,4,10,17,9,32,23
3,8,20,11,17,3,23,10,8
1,7,5,12,18,18,12,19,13
2,2,6,30,11,13,17,18,45
0,3,1,8,14,7,12,34,13
0,20,1,2,16,13,11,24,23
2,0,12,12,9,13,35,5,24
13,3,6,9,12,17,14,29,7
0,7,12,2,11,23,39,15,43
6,8,8,6,8,11,15,20,24
0,7,17,7,2,6,16,7,16
4,12,9,7,7,13,21,9,13
3,0,0,2,19,1,16,21,26
0,16,2,0,14,10,11,16,25
2,3,0,16,19,5,42,26,29
1,7,0,2,8,27,19,8,16
0,0,14,14,22,12,1,15,30
1,9,6,6,17,24,15,28,3
8,2,0,6,12,7,3,15,29
1,8,6,4,13,17,24,28,5
3,21,17,8,21,24,17,34,12
9,1,18,4,0,21,14,34,36
1,10,6,19,15,15,22,10,17
2,7,0,4,5,29,24,8,11
3,9,18,7,23,6,30,17,13
7,6,0,7,2,14,24,41,12
1,12,3,1,10,11,6,20,25
0,9,11,3,9,11,12,31,16
5,1,4,6,14,28,14,21,14
1,0,4,8,9,9,4,26,34
2,10,7,7,17,23,3,7,27
0,3,6,9,12,11,18,10,18
0,19,7,14,7,15,18,22,30
0,17,2,13,9,15,25,13,14
0,7,24,9,1,9,25,15,20
0,18,9,14,19,18,23,14,36
3,0,6,16,9,32,13,5,34
5,17,1,2,10,9,11,15,41
0,3,17,18,17,8,8,26,15
13,3,13,14,6,21,17,30,26
8,0,7,9,18,16,6,19,12
11,2,29,15,10,11,21,12,29
10,6,18,7,10,17,21,7,10
7,0,3,12,15,11,10,25,20
3,1,1,9,24,19,19,33,30
1,17,7,5,18,16,17,25,16
0,6,7,4,6,2,16,16,37
11,11,1,10,21,13,6,15,18
0,7,10,8,14,3,29,10,18
8,8,25,4,27,24,8,22,22
1,9,0,8,16,8,11,14,15
6,10,9,0,18,34,2,26,27
4,10,17,19,1,4,25,21,12
0,20,4,3,14,16,16,13,9
4,19,7,9,3,11,12,32,22
4,5,9,11,18,9,31,22,32
4,2,2,10,7,38,17,16,35
5,8,15,12,37,4,8,24,17
5,14,14,13,12,10,22,26,3
8,2,5,9,14,10,31,16,13
0,1,2,14,7,20,16,16,10
0,5,2,10,9,14,18,1,18
15,4,9,5,14,13,22,17,14
4,16,12,7,9,9,11,22,29
0,2,5,9,17,15,15,29,21
11,2,7,4,18,18,19,29,12
0,12,18,3,13,12,5,34,19
2,4,3,28,14,7,16,26,19
2,11,7,20,10,10,22,12,51
1,6,7,14,18,13,14,30,12
4,10,4,4,12,0,6,8,12
5,10,12,0,9,30,22,13,12
0,0,7,5,22,11,14,20,14
0,7,5,8,3,16,13,14,10
5,4,8,21,11,6,18,22,11
10,8,3,4,0,21,9,10,20
0,6,15,23,10,20,23,17,44
0,9,1,15,20,12,19,21,21
2,3,2,18,0,2,1,26,17
4,11,0,0,3,6,18,22,6
2,5,8,8,13,23,10,16,16
3,0,12,1,28,8,17,8,30
8,3,7,20,32,18,14,42,24
6,10,1,10,15,5,21,33,22
0,14,0,3,21,11,9,10,20
3,8,4,7,1,26,7,8,5
1,22,0,40,6,27,17,9,34
0,0,18,8,22,19,12,31,20
2,9,1,18,13,11,9,27,19
13,13,8,12,15,16,20,31,37
0,5,4,12,22,28,8,19,25
2,12,6,7,9,13,3,7,14
0,8,3,7,3,15,12,29,24
1,0,9,14,4,4,14,14,17
11,1,2,20,12,26,9,9,12
0,8,14,7,5,10,26,11,19
0,3,8,19,2,34,3,17,16
7,7,5,17,9,4,15,36,15
1,15,2,22,11,11,11,15,14
0,8,7,10,16,10,20,21,30
10,14,1,12,11,5,21,11,14
2,6,20,6,0,3,28,23,15
0,3,8,12,1,26,10,17,26
0,3,9,10,16,8,33,14,22
0,6,6,14,21,16,16,10,25
4,0,1,4,19,9,13,24,36
0,4,6,14,18,8,1,30,18
0,3,9,0,9,25,4,34,34
2,6,15,16,8,10,2,31,8
0,13,5,1,20,14,14,20,6
0,5,7,13,4,9,20,14,17
8,15,8,8,12,14,18,31,37
0,0,9,5,4,12,42,37,28
4,14,7,5,21,15,22,15,13
0,19,11,4,20,15,15,12,17
4,5,11,2,3,9,12,8,25
7,4,15,1,8,9,8,22,35
0,26,6,8,17,11,9,20,6
5,9,8,16,4,5,14,33,35
0,14,10,6,16,12,16,32,16
0,2,4,7,24,2,10,19,24
14,11,7,0,5,14,16,18,20
0,7,10,6,7,6,22,19,5
2,13,8,9,2,6,14,16,24
10,5,6,7,12,27,17,15,27
1,19,19,7,11,8,17,18,23
2,10,8,2,9,30,27,29,27
4,19,6,8,12,22,16,18,34
4,13,10,19,19,6,27,10,26
0,19,12,9,13,28,4,15,17
0,12,4,7,20,8,20,21,26
2,15,5,4,3,27,17,35,18
0,10,4,3,7,12,16,14,15
0,7,29,13,16,11,5,5,28
0,1,17,15,6,22,7,12,5
16,16,2,5,12,14,26,13,33
2,0,6,18,10,12,20,11,51
0,1,2,2,33,8,19,9,20
0,11,22,4,13,7,13,16,12
1,11,10,17,10,10,25,19,29
0,14,3,23,6,9,14,21,22
1,0,2,2,3,10,5,33,28
0,8,2,13,4,16,19,21,22
9,17,3,3,7,20,29,33,24
0,5,4,2,29,7,11,10,12
17,0,15,12,24,10,4,17,36
0,5,3,7,4,7,15,17,35
0,11,4,15,17,21,13,16,24
7,9,14,12,4,8,8,22,8
6,6,5,25,6,22,20,14,25
0,10,12,3,17,14,18,19,10
7,5,0,3,10,19,23,37,23
4,4,3,3,5,10,24,6,17
3,1,6,2,8,22,9,32,41
0,3,12,4,13,21,12,35,20
6,4,5,10,10,19,6,31,29
0,1,26,16,4,33,26,10,10
5,7,7,11,12,20,17,1,23
0,11,17,16,18,27,17,13,33
2,16,9,10,5,16,12,18,15
0,4,10,5,19,22,20,17,18
0,5,3,4,32,14,15,20,26
6,10,6,7,6,30,7,16,17
1,9,15,1,11,17,16,12,26
0,0,4,7,14,9,16,12,6
0,17,5,10,18,17,14,28,27
13,0,5,26,4,13,14,3,28
5,10,9,3,10,26,18,29,25
8,7,4,2,8,8,18,18,16
0,2,10,1,10,13,9,15,11
9,10,4,17,15,14,17,34,16
5,27,2,7,8,20,22,29,12
3,4,3,17,3,5,19,10,23
0,6,9,2,12,16,18,29,20
0,5,2,8,9,21,10,30,15
4,0,5,22,3,29,11,21,34
8,12,4,5,19,14,21,31,34
5,3,17,7,11,11,17,18,17
3,2,6,19,5,2,8,4,11
1,11,9,0,10,31,19,15,19
9,7,9,8,1,8,21,13,18
3,1,14,12,20,19,21,20,13
0,3,19,14,17,17,19,18,24
4,7,8,7,17,9,18,3,28
1,5,15,13,10,16,15,27,16
3,3,10,3,10,16,5,15,10
0,13,7,12,3,6,16,13,29
5,4,5,29,15,13,9,14,21
5,0,4,24,10,15,11,39,30
0,14,5,1,9,6,11,33,10
0,18,3,16,18,24,5,27,24
0,7,6,2,7,19,17,25,37
3,2,10,13,21,3,20,24,28
5,14,9,29,6,13,4,33,46
2,4,14,11,7,13,9,11,15
1,18,1,12,5,10,11,18,16
1,1,14,5,13,15,12,9,12
12,3,4,18,8,7,8,19,27
6,10,9,2,28,6,24,17,8
5,13,3,21,22,3,17,31,12
0,2,6,4,6,6,8,14,30
0,9,1,2,31,12,22,21,24
0,9,0,0,9,31,13,33,21
