"A","B","C","D","E","F","G","H","I"
6,11,16,47,58,57,47,48,84
3,44,23,33,27,33,39,33,68
12,17,8,30,4,26,37,44,70
0,39,27,22,41,43,15,28,95
0,0,11,63,59,67,54,58,53
16,15,12,39,26,29,43,37,70
26,21,0,32,27,43,29,42,111
3,43,10,31,41,58,66,26,139
28,5,16,23,40,33,49,40,77
15,4,25,14,17,19,82,84,47
19,23,32,18,60,25,68,63,59
0,25,12,19,26,35,23,68,40
14,14,10,46,57,38,42,48,40
15,19,20,44,45,29,27,59,40
23,33,22,24,22,16,71,105,69
11,21,28,55,31,33,25,63,77
5,52,24,24,26,52,54,74,43
3,19,27,37,32,24,40,46,80
18,17,23,39,34,53,33,69,59
8,26,25,11,22,34,83,99,72
20,8,6,19,59,12,38,38,37
16,47,32,22,35,28,29,22,57
16,38,6,22,61,62,67,81,43
13,25,9,39,19,27,16,60,81
10,73,12,54,19,33,43,43,41
8,11,30,23,74,66,106,57,48
10,11,25,32,54,42,44,23,88
15,18,14,24,87,49,36,35,38
17,41,30,25,29,51,76,61,69
5,25,29,39,52,36,57,61,92
0,30,27,28,74,29,28,31,67
26,38,12,17,53,29,33,56,64
0,13,14,42,23,44,80,48,76
7,50,13,42,50,14,58,46,85
22,6,30,35,21,42,107,31,26
9,26,14,24,28,36,63,71,79
21,7,5,40,69,33,42,44,64
5,21,48,41,23,26,47,62,105
4,27,34,22,77,32,58,72,64
13,24,16,31,29,33,26,103,32
13,22,8,34,17,43,33,48,40
12,11,19,28,28,30,36,57,25
0,13,15,39,24,41,80,77,65
9,52,20,22,81,19,51,68,80
0,23,19,63,16,62,39,56,44
3,42,38,59,43,89,54,70,61
42,34,12,23,29,67,52,88,23
0,6,24,47,74,53,62,79,7
13,21,34,19,57,60,36,58,65
12,26,16,14,34,43,16,33,73
8,27,26,22,44,71,46,79,60
0,25,34,24,25,29,62,44,62
10,8,26,43,27,53,29,110,73
12,21,18,23,46,49,71,43,102
2,25,29,63,31,52,30,71,80
10,38,23,27,34,41,79,57,57
1,27,18,61,24,94,59,82,76
2,30,41,33,40,42,54,45,74
15,7,17,58,54,35,41,101,91
0,14,10,42,33,53,57,52,54
12,15,52,45,40,51,49,85,72
0,2,4,25,16,72,65,71,71
23,6,37,32,40,25,64,51,52
5,21,36,33,40,51,59,93,108
17,28,9,23,35,44,71,37,66
2,10,11,39,34,51,35,33,141
9,13,24,35,15,61,20,59,69
15,44,22,29,19,64,36,58,82
15,46,54,14,38,22,56,118,47
17,19,24,30,45,26,59,21,33
31,29,15,16,68,18,24,73,57
1,25,24,30,17,13,59,26,61
0,19,35,9,23,29,35,46,49
0,9,28,15,27,24,33,56,93
11,9,12,31,43,92,54,39,99
14,11,23,17,80,54,73,42,70
20,36,19,20,60,31,42,47,33
11,22,31,46,41,36,26,61,50
17,8,35,15,42,34,48,29,57
0,15,27,30,29,35,35,72,55
7,12,15,47,55,36,24,21,47
16,8,61,19,47,23,107,51,63
13,5,14,74,31,30,19,61,66
0,33,40,11,35,43,107,50,73
6,16,2,29,39,30,25,65,101
11,12,25,33,35,54,33,70,32
33,12,15,36,31,67,23,95,60
13,18,12,27,16,62,30,48,73
14,19,22,36,39,26,57,25,53
15,31,45,11,19,57,64,69,98
7,3,12,27,51,94,44,37,44
9,36,11,42,56,47,53,100,97
0,18,22,30,23,54,43,36,90
0,20,20,32,42,25,26,68,54
22,32,22,24,55,60,35,48,91
10,18,1,47,20,39,51,46,125
0,22,21,44,38,17,67,63,90
14,18,19,31,32,19,69,48,46
0,37,18,35,24,45,60,81,84
1,28,28,31,33,50,71,25,81
0,6,35,28,13,75,37,81,64
7,49,6,53,18,18,44,71,69
3,13,42,30,13,38,46,60,44
0,44,38,11,22,37,77,59,46
2,9,41,35,32,59,58,58,96
6,13,34,10,52,54,44,39,59
0,12,18,28,50,89,45,71,92
5,30,15,14,23,31,45,78,76
3,18,26,13,54,22,45,73,49
18,29,10,24,30,50,60,68,98
13,8,50,42,30,66,44,66,36
5,17,18,19,10,62,47,42,80
5,27,12,38,30,25,33,60,72
0,17,29,10,48,26,14,69,83
0,31,7,31,36,71,55,46,44
1,16,24,33,8,45,34,51,79
6,17,38,11,40,35,17,65,51
5,15,22,37,39,20,24,45,56
0,19,7,37,33,28,41,63,60
10,22,20,41,17,47,54,74,73
0,18,11,20,51,42,60,99,100
12,1,16,41,20,10,54,70,65
9,18,7,38,28,51,22,55,56
0,26,22,34,43,64,39,73,39
12,8,19,18,14,33,41,28,53
28,23,2,25,57,59,60,69,89
16,13,16,46,31,21,51,50,79
7,16,21,40,29,39,24,65,46
0,10,33,17,59,42,15,33,55
0,23,2,17,37,52,55,74,64
0,21,33,30,46,18,81,68,102
29,48,8,46,43,28,54,62,97
11,22,14,16,22,25,52,76,119
4,32,24,43,39,71,46,41,84
19,19,2,24,79,52,22,49,86
15,62,39,45,62,42,53,68,43
22,30,33,38,41,61,71,34,83
7,24,25,20,29,22,50,42,43
21,27,15,21,27,23,23,47,90
2,11,50,53,7,31,54,60,85
14,24,22,35,49,57,38,25,49
0,20,11,15,49,20,54,70,140
5,11,16,14,24,54,27,27,33
6,24,14,30,26,77,25,21,84
15,26,11,25,44,30,40,63,102
14,29,32,33,53,59,26,58,41
12,11,14,28,17,23,22,60,67
5,14,16,22,48,32,33,49,53
11,16,18,34,50,43,35,60,64
15,32,11,39,34,44,40,95,52
2,22,12,30,26,35,73,65,40
8,20,24,26,39,6,54,55,42
9,42,21,37,22,50,58,57,54
3,48,34,26,39,31,38,52,30
0,29,38,12,19,82,39,78,102
15,34,13,26,51,55,43,61,110
11,4,14,16,26,32,37,94,77
10,24,32,15,56,25,44,74,60
2,12,37,27,34,36,54,62,66
0,21,40,30,64,38,64,33,88
10,22,7,56,28,18,109,44,51
0,9,14,18,29,50,29,59,56
8,11,22,39,38,30,63,54,35
13,6,48,24,16,42,68,44,100
5,40,34,59,26,18,82,55,104
12,33,32,26,28,65,52,49,48
17,20,47,49,22,16,22,80,58
3,13,43,26,21,30,27,55,76
27,22,31,12,33,28,67,106,79
12,12,28,23,55,12,36,64,103
7,50,28,56,26,65,37,27,24
5,0,35,12,75,26,44,75,55
17,11,33,19,67,39,34,66,82
0,8,2,29,12,23,38,56,57
1,30,3,13,45,20,56,65,40
0,41,11,25,39,66,65,28,83
5,21,29,29,45,13,34,115,37
0,36,59,26,52,38,33,90,50
10,32,20,13,37,58,57,65,58
31,22,26,43,33,35,49,61,30
18,10,23,51,19,61,29,52,47
20,33,40,21,25,72,49,27,30
22,6,25,24,52,51,29,71,50
13,23,19,19,24,52,31,35,61
20,15,15,18,19,37,42,28,70
5,19,19,28,27,39,41,56,42
12,53,27,32,39,31,32,62,113
1,22,40,66,39,61,41,60,74
0,15,18,11,57,23,3,25,100
5,31,39,7,53,58,39,34,37
13,9,6,53,19,66,46,55,62
17,24,21,33,31,27,67,39,72
10,26,54,24,42,43,34,56,64
5,20,31,32,28,37,58,55,55
1,16,25,17,46,39,34,73,76
7,20,14,23,60,82,86,38,56
22,27,57,51,15,61,25,55,75
10,16,24,25,49,45,45,55,67
3,6,32,9,54,53,33,29,40
1,5,22,16,28,25,53,34,64
2,27,8,35,8,14,54,98,49
18,12,40,6,24,24,50,97,76
7,77,46,31,57,56,27,40,67
0,10,32,14,22,56,55,56,35
2,12,0,16,63,75,31,41,62
0,37,43,22,35,11,63,19,70
7,19,31,18,41,26,55,93,69
11,24,12,24,51,48,58,44,78
0,12,14,38,36,16,47,35,70
7,38,25,42,44,35,75,40,55
17,13,14,12,24,22,57,43,63
0,9,23,29,31,59,61,46,36
4,25,42,35,40,75,65,79,86
14,25,22,31,53,49,32,11,67
15,30,17,39,27,30,42,63,53
13,40,24,47,24,39,45,105,41
19,12,39,24,36,74,52,83,60
1,35,28,35,32,56,39,90,49
17,17,16,20,44,25,32,59,51
26,12,33,32,21,22,71,46,119
10,7,23,59,48,33,59,42,71
3,10,22,46,13,20,51,45,58
5,18,18,30,56,37,43,97,70
0,18,14,42,35,33,52,68,43
10,31,13,17,32,35,15,57,52
11,35,19,13,16,86,51,53,36
6,18,14,44,27,22,72,72,22
2,23,59,10,55,37,51,60,54
22,14,15,1,49,62,43,61,77
17,16,16,15,75,74,14,72,51
13,22,14,57,29,44,55,47,54
0,21,16,38,31,54,63,68,123
3,31,15,99,33,31,19,82,83
2,16,26,17,37,50,67,74,166
0,42,30,27,42,27,39,57,57
0,21,22,49,31,35,73,49,78
0,24,15,28,51,66,43,51,58
0,26,39,15,29,32,54,63,85
30,28,30,29,60,51,36,70,109
9,10,12,22,41,37,14,35,116
10,45,16,20,16,64,42,63,58
22,14,10,25,29,45,47,32,49
32,5,28,59,61,63,54,36,84
6,42,4,21,47,54,89,51,52
14,7,25,15,30,58,60,60,49
0,3,22,55,34,34,69,54,98
2,7,26,47,29,33,23,40,71
30,19,32,29,40,38,25,38,96
6,13,21,30,19,34,61,69,52
0,38,5,32,17,49,53,36,34
8,23,25,46,70,46,54,63,50
12,14,53,13,43,47,32,58,57
5,8,5,27,46,30,46,12,29
26,24,48,43,47,58,23,102,68
23,44,13,13,23,114,45,78,81
39,39,37,6,55,37,64,49,122
3,26,14,36,33,24,56,60,59
13,19,32,17,34,33,96,43,23
18,27,4,7,41,71,65,73,69
3,16,18,12,48,47,39,86,65
6,13,15,26,47,17,67,42,94
14,24,21,12,44,48,70,94,41
6,23,15,56,22,60,57,42,57
10,50,47,60,36,66,60,123,75
8,24,28,40,10,47,47,73,50
0,5,22,29,40,17,31,51,57
22,35,25,1,72,37,57,117,70
13,14,10,31,31,28,49,68,78
0,78,53,25,22,91,46,54,44
3,26,4,18,74,47,42,26,58
8,8,12,51,40,86,17,94,39
7,31,0,15,64,22,66,38,35
7,13,45,19,38,28,52,41,51
4,10,3,37,22,27,44,64,44
1,12,0,48,41,26,38,53,56
24,26,15,21,26,34,16,56,52
7,40,33,55,18,41,41,37,23
6,13,8,39,85,28,76,68,60
23,10,26,44,61,28,63,42,57
11,19,8,22,24,45,30,69,33
4,14,34,32,52,40,27,42,62
7,11,12,49,19,79,56,54,73
25,33,29,40,47,53,28,21,76
7,17,21,56,60,44,7,25,40
7,18,49,25,5,13,20,41,64
0,23,27,52,45,33,51,52,61
0,44,13,52,22,28,55,63,61
21,30,18,23,59,28,43,82,64
4,6,17,4,40,26,47,28,54
6,48,51,10,16,66,44,29,53
43,14,14,64,40,12,88,57,85
10,19,17,26,28,10,57,67,40
0,42,30,42,38,41,34,34,70
12,18,5,20,30,52,21,56,46
3,39,13,19,60,56,98,92,68
13,23,19,26,49,57,40,49,59
6,30,34,34,53,74,77,72,91
9,45,27,47,31,31,16,64,48
8,30,32,43,50,33,38,65,81
0,19,18,25,35,61,18,38,42
9,26,50,19,19,44,62,53,29
31,36,15,26,14,47,26,86,57
0,40,31,16,34,67,57,30,22
25,12,42,71,7,28,31,26,34
3,16,35,26,87,42,51,52,88
3,56,14,17,45,58,102,56,63
16,33,13,11,53,65,26,68,40
4,10,60,33,28,38,47,97,58
5,36,18,46,29,36,13,33,73
38,18,22,31,36,33,27,27,57
12,17,3,69,64,36,47,34,59
15,27,19,15,44,38,19,64,72
27,17,17,33,27,36,87,40,26
7,13,10,33,11,49,39,36,45
25,18,32,3,39,47,61,65,82
0,10,24,25,38,51,44,47,87
11,21,29,30,22,10,39,27,54
12,15,34,64,25,64,68,67,64
29,37,20,17,46,38,49,68,59
23,27,43,12,50,54,46,68,93
21,31,21,22,42,33,49,66,52
7,4,9,31,29,45,39,78,73
7,19,12,29,54,60,71,38,110
12,8,22,31,36,80,84,38,93
4,9,18,6,55,13,40,86,77
19,27,29,5,44,13,29,49,87
0,23,19,38,37,64,68,38,47
10,23,13,45,25,55,40,20,29
13,17,43,35,23,49,50,41,100
4,11,31,28,19,55,64,64,30
0,18,30,51,43,16,48,65,62
16,0,27,3,35,35,33,37,119
11,19,26,31,9,81,37,31,82
23,25,19,8,49,82,60,46,37
7,9,42,31,30,53,49,87,31
9,38,26,15,52,61,65,84,83
15,38,17,24,52,29,39,43,78
0,22,40,32,19,44,84,81,44
6,39,25,18,88,46,27,45,52
17,2,31,24,19,25,48,71,30
16,3,0,35,62,60,52,53,76
11,3,34,46,17,89,76,58,55
8,20,19,30,47,40,65,77,82
0,16,37,27,40,68,29,48,27
9,23,19,45,38,44,11,88,56
0,28,31,32,32,37,64,84,72
16,16,21,30,23,52,48,49,57
8,14,70,13,37,47,57,19,54
1,38,5,50,29,52,56,55,83
0,3,11,44,18,50,56,56,34
8,34,28,17,50,28,35,57,57
17,4,25,41,30,59,40,55,27
3,16,10,41,15,48,27,32,67
13,30,32,45,32,20,56,60,38
19,29,32,28,37,23,49,34,68
15,18,22,14,8,64,47,68,43
6,25,17,54,30,56,51,85,88
14,5,32,43,26,77,70,55,48
29,32,21,26,22,29,41,56,65
1,29,24,15,48,37,68,41,47
3,32,11,8,31,9,20,60,85
2,16,20,18,71,59,58,78,64
3,9,6,28,39,35,22,79,37
5,11,24,25,37,20,47,86,98
13,30,22,19,46,19,60,67,49
8,24,12,12,33,60,61,69,92
19,21,22,13,49,31,44,35,56
0,45,22,28,38,44,46,75,64
3,42,33,42,79,37,46,43,91
9,28,29,31,63,21,81,22,54
32,28,21,13,42,47,51,40,58
26,2,20,8,37,31,84,81,43
0,8,26,54,69,13,67,78,110
14,17,18,21,16,55,63,46,79
8,38,23,41,56,41,37,54,74
24,42,10,41,8,39,20,96,52
13,7,5,50,60,43,62,64,90
4,11,32,5,12,32,34,52,46
8,27,1,41,19,36,98,33,93
0,9,17,39,32,47,36,75,107
4,8,15,17,53,55,54,46,49
7,18,4,45,44,45,48,35,39
9,21,3,12,45,77,65,62,54
10,13,39,23,59,25,49,83,108
7,32,4,16,27,32,34,55,54
11,17,49,39,36,63,32,34,98
12,22,24,36,36,37,65,47,71
0,19,11,27,27,27,43,43,53
3,4,25,15,50,46,47,19,50
26,20,11,5,41,48,92,27,95
6,27,33,13,70,70,22,81,80
0,39,5,34,38,38,34,26,40
14,13,19,54,77,23,27,78,87
5,60,5,29,33,19,31,59,66
12,27,14,36,20,29,27,83,29
3,8,30,27,45,22,42,59,72
18,28,29,59,15,23,94,60,71
9,22,44,27,23,18,33,32,74
9,9,10,30,50,16,48,64,41
12,16,14,19,7,46,76,47,79
4,20,12,27,27,21,48,36,72
22,35,14,18,33,30,23,73,66
0,12,48,24,20,29,41,65,59
1,11,15,43,37,11,42,84,39
4,21,16,32,31,24,41,68,71
10,33,13,38,39,47,40,65,110
26,11,35,48,70,51,46,26,78
16,15,37,36,29,48,72,54,47
17,15,10,10,41,22,89,21,72
10,13,11,30,52,83,32,22,65
9,27,47,36,19,69,50,57,55
0,25,13,23,22,38,55,27,58
13,32,41,27,40,32,42,67,77
18,18,12,17,26,62,54,26,46
22,0,25,12,89,51,94,53,55
18,6,28,13,7,30,81,45,90
12,17,29,34,27,44,38,50,131
5,22,25,15,41,18,11,62,72
0,10,6,15,27,55,56,56,107
11,18,5,46,29,2,45,75,61
4,26,6,20,11,84,45,33,68
18,29,29,54,25,28,34,15,104
25,27,8,30,43,60,57,60,65
4,9,22,17,43,34,59,81,84
7,1,31,3,40,46,76,17,104
21,6,24,18,41,26,49,47,61
5,24,38,92,27,34,32,49,26
7,26,24,4,29,24,45,65,131
0,43,37,19,44,30,48,41,77
4,4,22,28,40,66,37,42,49
12,5,24,15,62,40,19,102,52
9,36,10,7,38,59,49,40,52
28,35,23,12,34,25,65,55,34
13,31,23,38,27,41,48,55,53
9,17,52,38,35,38,35,37,53
10,18,8,45,57,46,65,74,76
0,10,17,40,24,55,52,74,61
8,20,13,34,46,61,40,44,78
11,18,30,16,29,35,64,55,46
30,26,17,8,19,71,26,36,68
11,29,27,38,47,50,62,58,19
9,53,23,46,41,27,91,70,84
16,35,28,19,28,47,82,39,63
5,21,25,34,11,92,37,64,75
20,10,39,11,41,32,59,39,111
14,18,37,23,34,31,68,71,68
20,26,44,47,39,50,31,64,31
9,12,12,16,28,37,60,37,47
0,30,17,48,34,22,22,57,81
7,21,37,21,18,38,45,66,61
18,20,12,5,21,29,51,56,59
19,23,23,42,20,64,46,44,32
35,39,30,66,25,17,38,46,71
5,9,23,18,39,50,24,88,58
0,37,24,24,26,39,54,30,68
23,16,3,12,27,40,24,42,58
15,49,50,23,47,60,30,54,55
12,15,14,26,50,36,46,61,70
6,52,13,16,88,38,73,29,61
0,36,20,53,35,20,73,73,64
12,20,23,38,11,5,87,39,72
2,31,11,24,18,44,42,48,35
3,27,23,39,17,51,56,40,79
7,19,18,29,58,21,45,96,73
9,34,1,22,40,29,62,72,62
7,39,47,39,35,38,26,47,45
5,4,29,23,30,39,56,52,28
3,0,36,14,29,27,27,56,50
4,28,14,25,34,31,51,97,75
3,20,6,44,14,35,36,73,76
19,84,17,40,70,53,40,49,75
21,29,34,25,26,57,9,86,58
14,26,23,32,48,47,31,41,63
5,12,50,55,29,63,66,74,113
15,15,14,24,57,39,40,37,119
12,15,17,26,45,48,42,87,96
0,30,13,21,33,54,21,47,48
9,17,24,50,81,29,62,69,92
5,19,23,24,33,44,70,28,17
13,23,38,30,30,51,28,66,78
10,0,35,30,44,36,63,52,79
1,20,20,23,41,32,63,69,72
30,41,21,2,28,34,78,35,52
25,6,34,48,48,60,16,44,58
0,14,12,35,51,58,16,36,77
0,31,17,23,12,52,27,60,53
3,21,0,21,78,47,25,35,61
4,16,21,33,24,36,64,64,78
14,46,29,54,49,51,26,35,88
3,11,26,31,38,75,55,43,54
22,34,46,29,40,52,31,100,52
19,12,14,36,22,68,52,39,58
15,35,5,35,44,50,36,69,57
7,11,43,11,20,15,71,57,58
0,22,11,62,86,40,26,51,86
19,29,5,25,10,37,34,26,37
7,29,48,43,35,39,93,55,51
5,26,16,22,28,37,56,46,42
13,21,38,50,23,40,33,38,70
5,28,9,43,42,40,113,36,29
6,22,26,24,19,39,40,30,23
0,44,42,41,26,56,45,39,63
1,42,38,29,28,45,17,43,52
3,4,16,35,38,57,33,28,35
2,6,38,29,46,17,40,41,33
16,10,22,33,21,28,26,68,102
11,12,37,0,28,57,103,36,46
0,19,19,19,78,48,29,91,47
1,22,34,36,42,57,44,52,76
22,27,32,34,39,44,31,62,66
3,14,14,42,88,18,85,41,41
19,32,28,6,13,32,54,32,55
16,6,21,16,30,18,41,35,54
17,22,17,35,28,18,77,36,40
17,9,21,23,33,62,31,48,82
14,20,17,25,45,38,66,87,82
5,18,6,13,19,55,40,46,83
5,24,24,3,60,51,23,103,55
0,18,49,30,0,25,41,88,102
6,48,43,17,26,52,23,91,52
8,11,6,27,13,20,48,68,58
0,32,18,56,47,9,79,62,69
4,21,12,22,29,54,37,85,116
13,0,4,11,14,44,62,72,36
6,12,32,29,32,41,47,63,60
24,30,31,48,26,69,47,62,52
0,8,24,22,94,44,70,29,23
6,8,22,41,29,105,61,108,62
1,16,19,45,36,23,73,72,47
9,30,46,12,51,52,60,67,32
5,9,34,16,31,52,15,52,43
15,26,26,38,32,20,27,58,38
11,44,47,10,20,61,47,46,30
5,39,21,56,4,25,55,67,37
0,11,5,21,38,58,56,66,65
3,6,40,22,44,11,46,71,27
18,18,38,70,40,57,49,20,83
2,44,33,34,17,27,46,46,81
0,0,23,21,33,16,35,57,45
9,19,29,19,26,48,70,47,66
0,33,37,40,25,31,84,76,49
21,21,29,23,17,48,71,51,63
14,30,31,22,30,38,68,51,35
2,41,32,22,46,27,46,59,57
11,31,20,20,75,28,29,38,94
21,1,3,33,42,64,68,51,44
2,23,31,43,24,45,27,84,47
4,40,14,39,21,58,36,82,94
1,36,23,88,17,35,32,79,75
13,25,25,39,10,37,50,29,66
10,30,22,23,37,84,56,81,38
7,16,46,63,43,39,59,56,77
1,10,43,53,47,57,48,68,91
7,20,7,26,50,28,43,38,50
0,10,9,27,45,34,26,31,48
0,39,39,34,32,48,57,30,72
11,6,10,19,47,27,67,54,59
14,29,8,33,40,42,46,64,31
9,22,46,4,32,36,43,69,71
4,5,28,29,37,33,33,46,46
21,12,26,37,36,76,67,46,63
16,30,29,27,29,37,13,81,61
12,0,17,25,55,72,33,46,45
23,15,16,54,47,86,65,52,51
35,38,19,25,28,29,74,62,48
3,9,30,21,43,24,53,52,66
2,14,4,19,5,75,54,90,46
2,12,15,38,51,82,48,31,50
4,34,35,5,52,62,61,38,73
38,5,32,19,49,28,54,59,75
8,38,34,18,18,72,38,81,63
10,17,38,13,32,18,56,60,69
13,22,18,24,2,38,70,83,70
9,11,14,34,21,38,44,76,55
9,59,19,50,49,47,66,54,32
13,20,14,50,43,37,34,61,83
0,27,46,53,16,59,34,64,69
14,31,38,31,8,99,38,68,46
8,15,39,21,57,56,70,92,34
10,53,14,37,58,44,46,30,73
12,14,28,25,53,29,40,62,79
8,22,37,10,27,40,89,40,41
19,28,12,37,69,73,85,49,67
5,23,45,13,15,39,74,66,87
0,36,23,49,22,41,44,84,29
8,13,33,25,42,39,58,93,84
15,17,8,23,43,35,44,105,43
11,23,54,27,21,53,32,65,29
0,18,26,26,48,22,31,77,30
0,20,18,38,32,36,39,37,59
2,29,11,16,20,34,52,81,61
0,24,51,14,28,88,45,34,62
0,29,0,19,62,29,72,76,39
16,20,53,43,38,35,99,53,106
9,33,34,46,23,11,69,103,72
12,15,19,18,40,45,37,57,52
8,22,25,25,49,55,21,66,36
3,7,33,48,77,53,73,64,34
20,10,40,21,30,33,18,83,74
0,23,14,44,46,32,48,26,62
13,19,28,43,30,28,63,55,68
13,21,29,39,56,97,22,27,45
24,38,7,40,48,68,36,19,35
10,23,14,35,9,46,53,65,40
6,17,46,26,21,23,61,75,84
28,39,38,38,25,36,46,77,44
0,46,9,40,29,47,70,50,50
3,21,0,13,16,40,53,65,80
17,17,26,35,28,49,39,37,50
12,13,15,28,14,43,20,74,80
6,25,24,36,31,54,31,89,93
15,40,4,11,28,69,39,80,77
5,25,40,31,25,34,72,50,60
22,26,19,32,37,29,56,61,76
16,23,22,31,54,57,30,74,72
5,21,48,57,19,21,36,87,73
23,19,32,22,24,67,53,29,47
11,17,25,38,21,59,71,67,68
14,35,20,40,12,8,71,40,48
11,45,41,21,39,45,63,64,69
24,7,41,33,32,18,52,53,51
11,1,6,37,38,31,53,97,31
17,21,42,27,46,29,51,59,35
11,12,24,33,28,30,27,87,52
31,26,14,44,33,38,63,68,30
31,12,38,39,44,39,47,29,39
10,29,15,38,19,12,51,55,46
5,18,22,31,19,52,57,27,48
18,1,10,27,37,70,54,38,44
16,22,7,31,55,37,29,76,46
33,3,12,45,39,35,75,22,90
8,28,0,29,54,40,60,49,104
21,11,36,42,63,29,31,61,75
12,27,19,17,40,61,65,77,68
6,2,18,44,49,42,55,46,42
8,14,17,17,52,41,37,33,125
13,24,27,17,35,76,23,65,34
11,14,9,40,15,69,24,35,42
16,42,37,10,26,48,61,86,44
0,9,3,28,18,65,49,27,69
2,11,32,31,43,30,85,55,65
17,12,5,49,40,59,28,62,117
0,30,12,27,13,80,36,55,27
17,28,1,23,53,77,57,51,32
2,79,29,24,21,59,54,47,55
11,45,11,26,25,38,65,38,37
4,29,35,27,45,40,107,50,83
16,63,32,48,51,54,63,31,53
0,13,13,23,32,49,46,77,43
21,6,37,32,32,20,66,45,71
12,21,18,23,15,21,44,62,43
11,31,11,23,36,48,42,69,42
7,1,7,15,14,71,42,64,34
27,30,44,28,23,36,34,45,79
27,34,23,25,29,61,74,60,59
5,16,54,19,42,51,45,37,86
24,75,38,37,41,79,47,111,62
6,29,29,40,29,32,75,31,56
20,22,31,35,32,28,76,52,65
2,11,29,46,80,24,41,79,80
14,22,29,41,42,47,19,47,66
5,13,61,29,55,30,38,49,47
19,27,21,21,43,59,59,37,40
9,17,27,10,37,112,54,58,69
9,26,38,26,13,43,57,15,42
5,12,24,39,26,0,52,59,36
0,5,35,33,34,28,64,74,77
1,23,13,68,28,54,49,36,54
12,26,28,28,29,34,59,20,59
4,11,20,20,46,67,64,58,65
7,36,27,23,28,41,48,62,95
14,29,21,13,52,63,53,40,72
11,23,22,44,37,48,44,58,58
6,9,7,34,42,40,45,65,40
4,17,33,30,29,11,29,29,68
0,44,19,32,26,35,77,67,67
5,28,52,20,39,67,66,46,55
1,21,41,35,28,39,47,85,59
2,11,50,31,57,41,45,28,48
24,29,27,27,36,64,81,39,39
11,15,13,31,31,25,44,47,68
5,8,20,7,32,39,48,63,71
2,27,34,22,39,37,44,61,57
0,10,15,10,25,72,93,42,78
27,34,21,31,24,15,53,39,90
7,11,26,4,23,26,43,85,6
1,8,18,16,41,53,52,43,89
8,40,40,31,36,25,37,57,54
20,33,27,24,24,46,60,59,36
13,14,9,30,35,56,65,60,63
9,16,23,19,43,49,56,41,76
15,21,13,28,29,37,45,24,88
22,29,34,6,13,22,94,78,69
9,16,27,55,21,35,56,56,58
14,15,36,48,25,6,39,58,73
0,41,34,55,30,81,54,48,59
0,9,16,23,52,40,65,50,65
11,26,37,44,37,46,23,77,67
9,25,21,20,31,34,35,76,112
0,34,33,27,7,20,42,113,52
24,11,18,47,18,43,27,43,71
4,46,29,28,14,49,58,45,62
5,41,4,5,24,45,68,79,83
9,40,5,5,43,29,56,52,36
0,7,35,65,21,35,86,35,72
4,24,34,72,28,19,41,64,86
14,35,35,24,23,29,15,76,25
13,22,18,39,43,42,23,60,58
6,10,31,27,72,25,48,48,87
0,34,10,23,11,92,37,33,83
15,30,70,36,54,14,60,33,45
5,45,20,16,45,33,46,61,78
