"A","B","C","D","E","F","G","H","I"
0,2,8,22,8,15,12,66,16
0,6,6,13,33,26,10,12,43
0,9,9,7,7,9,18,3,25
6,6,8,8,18,48,19,35,6
0,3,3,27,20,25,2,31,33
4,3,2,2,15,16,2,26,6
0,4,17,23,9,22,21,37,22
6,3,5,23,14,20,23,28,12
1,8,14,10,19,13,16,26,11
0,24,5,2,18,44,17,14,32
0,2,2,4,15,7,17,30,37
0,4,5,1,18,3,29,10,14
0,10,7,17,27,16,17,22,10
9,23,25,2,5,22,1,12,5
4,6,31,32,29,4,12,36,14
3,1,9,10,10,35,16,9,25
1,1,12,9,11,26,13,24,22
0,6,4,3,10,7,11,32,13
0,5,5,7,16,16,17,4,24
5,1,9,4,15,21,10,3,35
0,7,6,17,3,18,29,23,14
11,9,11,1,15,1,26,17,14
0,4,12,2,5,8,28,40,27
0,3,4,4,10,44,30,38,7
4,17,16,5,24,24,24,13,11
0,19,7,35,2,12,6,25,39
4,6,27,40,15,6,6,15,2
0,8,6,12,11,13,1,28,39
0,1,4,26,11,22,8,27,20
4,7,20,7,7,12,13,15,20
16,4,12,22,7,21,12,33,53
0,9,10,9,1,36,9,24,4
6,10,3,21,14,35,37,13,5
0,2,3,41,9,22,6,10,34
5,27,4,1,26,5,5,18,34
14,11,14,3,5,6,1,31,24
7,7,14,1,1,32,22,26,25
0,10,11,4,8,3,5,11,24
0,4,8,19,22,10,14,12,14
0,3,3,7,19,21,17,2,15
4,8,6,24,12,30,23,14,26
1,3,2,19,3,7,8,23,3
0,19,10,18,15,14,12,31,12
2,31,8,7,23,4,15,9,26
5,13,28,28,23,55,12,49,41
0,8,1,8,23,23,26,10,24
4,8,15,11,32,8,37,42,12
1,22,12,9,4,3,16,18,33
1,14,14,23,6,6,10,37,31
5,15,11,6,12,22,10,23,31
0,7,11,37,37,10,36,48,48
12,11,11,10,14,19,10,27,3
0,2,11,11,7,23,12,39,9
2,2,10,17,17,25,3,18,6
0,6,18,8,22,19,39,33,14
1,13,13,18,25,25,19,22,40
0,0,44,14,7,6,17,8,44
28,5,8,13,14,18,24,27,18
0,5,9,22,5,20,8,18,58
3,4,4,9,10,10,2,73,5
4,10,13,5,38,20,26,26,41
10,10,3,9,30,12,25,7,14
3,10,3,8,3,13,9,16,41
1,6,6,11,49,6,12,19,17
0,1,1,7,12,11,10,21,35
26,13,14,34,6,29,8,25,58
7,11,23,5,12,26,28,21,16
0,0,2,9,2,30,13,4,45
11,3,20,15,15,10,19,6,24
0,9,29,9,37,37,36,19,19
8,14,14,1,19,26,13,21,20
13,3,11,12,43,14,13,24,19
6,13,13,21,2,27,5,41,63
0,15,3,16,17,11,16,33,70
0,8,1,3,16,11,25,31,22
4,5,31,2,21,37,31,20,14
0,0,29,4,11,3,40,12,44
0,2,13,9,4,21,11,15,22
0,10,7,7,5,13,5,24,30
0,0,25,25,4,5,17,43,26
0,18,9,11,14,17,26,10,31
7,7,16,14,36,10,11,12,18
5,6,1,4,5,31,16,26,31
0,5,7,15,4,22,34,47,40
0,15,15,15,9,9,4,14,53
0,10,10,20,2,15,28,38,27
0,3,8,8,16,6,6,26,18
0,15,3,27,4,4,10,46,18
10,1,9,13,12,7,13,31,11
0,27,5,8,7,21,34,35,21
0,1,9,19,10,15,6,9,25
0,7,7,13,14,12,31,42,4
21,5,3,8,8,12,24,45,29
0,0,8,13,13,26,21,40,6
0,7,4,4,14,3,10,19,10
9,3,3,25,6,12,15,27,38
0,5,5,11,2,9,24,26,36
0,0,45,6,11,3,3,22,40
0,0,6,5,5,38,4,14,14
0,11,15,11,20,19,20,16,22
9,7,6,21,20,15,18,17,8
0,1,5,19,41,39,25,11,16
0,17,11,5,10,22,18,20,10
19,15,27,21,16,28,15,26,25
0,0,11,3,27,11,20,25,11
0,4,1,13,36,14,10,9,25
0,12,6,12,21,6,11,30,13
10,4,3,8,19,21,4,26,6
0,34,13,16,11,11,11,11,21
1,1,2,8,17,15,49,2,38
0,13,1,1,6,18,4,21,57
5,10,10,8,11,11,2,15,19
9,17,21,19,20,28,8,46,8
1,1,7,16,18,4,21,40,11
1,18,9,17,11,11,18,28,38
7,3,6,4,18,4,4,20,13
0,1,2,38,16,14,8,8,26
0,6,6,6,30,37,2,21,37
0,24,34,5,10,17,12,21,21
11,11,12,9,9,16,62,45,9
15,5,11,2,19,9,9,9,11
0,5,11,4,8,11,3,17,26
6,24,36,4,1,23,45,18,59
9,21,5,8,28,3,3,34,6
0,8,17,12,7,13,1,17,17
6,4,29,1,16,10,4,4,12
7,2,6,4,4,4,15,15,12
0,0,2,7,24,12,6,28,44
17,3,3,17,53,53,5,17,21
3,8,9,5,6,26,10,33,8
14,6,8,26,12,8,75,17,14
12,1,6,23,7,25,25,5,10
0,4,4,22,38,12,3,32,14
15,4,4,5,27,10,31,31,23
0,7,23,28,10,23,24,22,12
5,15,24,5,32,6,6,34,18
2,3,24,17,7,9,9,5,28
9,16,9,42,18,7,8,11,20
0,2,10,7,4,53,8,15,1
0,1,6,30,4,2,6,22,39
8,12,15,6,3,33,26,27,23
0,4,24,16,35,12,34,9,28
1,23,3,16,14,21,8,33,12
0,15,13,28,16,10,16,11,24
4,12,3,15,41,20,4,8,70
0,13,13,17,9,1,40,30,4
7,9,9,4,2,25,9,38,15
0,0,23,21,7,2,17,38,19
0,2,27,27,37,30,20,20,20
9,3,20,6,25,27,28,39,32
3,5,7,12,12,2,41,19,28
0,4,3,2,13,31,4,2,11
0,2,11,11,4,14,5,26,25
0,13,7,7,19,15,7,19,35
0,14,5,1,2,2,34,19,4
0,0,1,18,2,33,12,31,32
2,10,12,12,17,5,8,15,55
0,13,9,13,1,11,8,46,35
0,4,26,34,34,22,38,45,11
4,6,6,9,26,8,29,10,45
3,19,9,7,11,14,11,19,25
0,36,36,12,12,8,39,29,30
0,14,2,4,36,6,5,6,14
8,22,3,9,41,5,4,32,14
0,0,0,13,7,1,13,35,41
3,3,12,7,12,33,31,24,16
2,2,3,2,6,35,9,23,23
3,5,2,3,16,32,20,29,48
11,25,42,13,4,4,15,5,22
0,25,1,9,1,6,28,1,34
0,14,11,23,12,13,53,33,28
2,8,9,10,35,14,4,8,28
0,2,12,12,4,11,42,20,22
10,7,1,10,13,22,22,38,40
0,13,12,13,4,8,13,47,24
0,20,7,31,4,8,13,17,43
2,2,13,3,15,28,12,11,8
7,12,9,10,28,28,23,18,20
6,13,13,5,17,10,26,28,26
0,0,0,11,1,4,12,32,43
0,4,1,15,37,9,34,35,19
7,37,9,8,8,37,38,50,14
0,17,17,13,10,21,20,17,27
4,14,9,26,11,26,5,49,17
3,28,27,27,6,4,14,22,18
0,0,6,29,14,29,17,34,31
9,7,7,6,14,15,12,20,1
1,29,6,9,9,27,13,37,21
6,35,35,2,28,24,42,18,7
1,1,3,4,10,27,1,25,17
8,7,12,9,27,19,28,11,16
0,4,15,20,17,14,9,19,52
6,4,21,21,3,21,21,11,4
4,4,6,2,20,12,13,12,45
0,1,8,16,9,9,37,11,21
0,6,6,6,10,6,18,29,10
0,10,3,22,9,25,18,35,11
0,4,19,19,3,25,29,23,30
0,3,2,11,15,17,9,22,35
0,11,11,14,14,24,11,26,37
0,0,1,5,20,20,11,21,24
0,7,1,3,40,40,7,18,9
0,19,5,9,1,1,11,46,3
5,15,7,19,17,26,5,11,19
3,14,14,8,12,7,9,27,25
0,0,1,14,10,10,19,13,20
2,9,7,10,36,9,29,36,37
27,38,38,17,34,21,11,22,37
0,29,29,28,2,27,18,12,37
0,36,2,17,17,5,24,25,7
5,5,2,14,24,4,9,27,27
0,2,18,22,15,27,38,4,24
0,4,4,5,21,17,18,11,11
0,8,7,7,20,15,5,11,25
5,4,15,7,17,6,7,13,25
11,11,14,12,1,1,10,31,24
0,8,26,9,7,10,37,33,11
2,7,12,12,19,3,5,12,31
0,11,11,9,6,6,40,8,41
0,5,4,10,6,30,7,14,13
0,11,4,6,6,14,26,15,40
0,4,4,35,5,2,28,31,56
1,17,9,9,14,11,23,25,47
5,1,5,29,13,4,10,3,26
6,19,4,16,10,25,2,24,18
0,0,15,2,30,16,24,16,43
9,7,4,2,11,19,6,22,18
4,8,3,7,47,8,23,4,47
1,6,6,8,1,11,19,9,18
13,15,20,16,23,17,3,5,15
0,7,6,10,12,16,4,21,18
0,20,16,7,5,20,6,12,20
0,5,11,1,8,21,4,38,34
0,0,12,1,7,17,15,48,21
0,13,13,13,13,23,22,13,26
0,16,3,25,27,7,19,24,5
0,7,9,4,7,30,12,14,13
7,2,2,1,16,12,17,33,29
0,4,13,1,1,23,1,27,22
0,34,2,3,28,39,10,68,40
3,6,24,1,8,8,17,13,37
1,4,3,21,9,36,9,19,28
1,8,17,34,7,26,8,3,24
6,17,3,10,4,10,23,30,20
12,4,4,4,7,11,9,31,36
13,2,5,15,17,25,26,17,15
2,2,12,1,7,1,15,15,30
0,4,4,7,10,5,10,10,25
0,9,9,23,4,16,9,30,29
1,8,12,4,15,11,1,4,17
1,11,11,15,20,12,4,30,35
0,21,14,14,54,54,15,15,31
0,7,23,20,9,18,11,26,32
10,10,13,57,34,14,6,9,23
0,9,9,9,17,11,16,19,1
4,7,7,19,6,33,14,52,15
2,13,12,4,3,15,16,16,16
4,11,11,16,22,33,33,36,28
5,11,1,13,13,36,10,5,6
31,22,4,9,31,8,4,17,15
0,7,10,12,12,8,25,23,32
10,2,2,1,6,2,8,36,29
0,13,25,2,14,3,3,14,36
0,8,8,24,33,1,20,16,25
5,2,2,17,13,14,11,19,40
2,1,9,13,19,16,26,17,32
3,8,16,14,5,9,42,40,10
3,3,6,3,2,3,20,12,20
0,0,3,11,8,5,11,68,26
0,11,5,14,15,26,34,22,14
0,26,15,2,19,23,14,39,19
1,12,12,5,26,8,1,11,15
5,10,10,5,2,3,16,28,24
0,4,2,14,6,35,32,9,45
0,3,6,19,4,14,5,21,15
0,11,11,58,10,10,24,24,53
0,0,0,5,11,17,6,19,14
0,21,3,13,21,4,13,28,26
0,16,30,13,12,17,31,36,5
0,1,7,20,20,26,9,39,19
0,1,3,9,5,5,63,33,14
1,1,23,2,20,22,2,8,6
1,11,9,35,9,24,14,20,18
2,2,6,11,24,7,5,20,29
0,2,7,7,17,5,24,16,45
2,6,14,4,1,20,20,3,28
3,3,3,17,9,9,14,30,11
0,11,11,10,10,3,36,24,65
0,4,15,14,21,3,16,38,32
0,17,1,22,8,13,13,42,45
0,6,22,7,14,14,16,10,44
0,2,12,5,29,29,30,10,40
10,2,13,12,28,18,5,35,54
0,2,2,12,4,4,27,12,25
0,5,3,20,19,24,19,58,28
0,3,1,36,10,8,11,18,22
25,13,13,2,5,8,9,8,7
5,17,23,8,30,1,4,11,10
7,3,14,6,18,9,9,20,37
0,18,14,20,17,25,5,21,40
4,5,1,13,36,14,36,15,26
3,6,9,8,7,13,22,29,6
6,11,3,14,20,4,52,14,13
4,2,26,2,3,9,2,5,27
0,7,21,15,21,27,4,37,16
24,24,11,20,14,23,4,12,12
0,4,4,5,36,17,14,28,15
8,4,4,5,6,25,27,51,7
0,8,12,10,5,22,10,21,11
10,3,17,6,7,8,9,10,37
2,16,16,24,20,6,20,34,14
0,0,9,7,5,16,13,44,59
0,4,25,5,23,4,7,34,19
0,0,2,7,39,21,8,37,16
8,8,6,33,19,4,34,10,43
0,9,6,7,30,25,19,19,35
0,14,2,33,33,9,35,39,15
9,9,14,20,6,14,27,4,24
0,8,11,32,32,16,8,33,40
0,1,6,6,5,5,15,25,5
30,17,19,23,8,19,15,34,19
5,6,23,23,18,2,28,21,19
0,0,11,7,18,10,23,29,14
6,12,10,15,10,15,9,22,25
0,9,7,7,1,14,6,34,31
4,18,18,4,8,20,19,33,23
8,9,7,5,13,6,25,39,33
6,6,6,6,10,6,7,46,22
4,4,22,6,6,6,10,2,41
0,4,4,6,11,20,19,16,29
21,21,6,1,4,7,21,12,18
0,19,10,15,25,14,28,24,24
8,11,8,8,25,11,9,15,18
0,11,3,1,12,29,12,2,2
0,24,14,12,12,4,12,31,35
7,2,1,1,16,45,30,30,1
0,0,30,4,6,9,50,2,21
21,22,34,5,19,44,21,20,45
10,9,10,11,27,14,26,59,17
9,9,9,28,5,9,24,26,18
4,12,4,8,21,4,4,11,57
1,3,14,10,22,11,26,22,28
1,8,23,25,4,61,39,1,4
0,0,2,12,24,5,5,12,26
8,2,4,14,14,36,21,14,9
3,21,6,10,17,18,10,38,23
0,4,14,4,9,1,1,41,14
12,12,3,12,7,8,24,32,17
4,20,4,2,8,11,10,2,5
1,10,3,36,25,2,11,30,41
0,15,1,10,6,10,16,27,9
0,21,6,6,14,13,21,12,34
7,7,5,10,1,11,7,41,17
6,1,1,2,10,10,44,15,16
4,2,16,14,7,23,16,32,13
0,2,2,16,10,1,18,25,34
1,3,3,3,11,11,24,16,24
0,9,2,7,5,10,7,10,25
20,15,4,1,6,3,4,5,37
0,2,20,24,18,42,11,5,29
0,5,8,9,41,12,37,18,21
3,25,10,17,5,4,21,69,12
27,2,2,2,3,18,14,12,19
0,28,7,32,13,13,17,35,23
13,4,4,23,19,1,19,6,27
0,3,10,9,25,19,34,53,14
0,0,0,7,7,29,28,10,11
0,3,3,26,24,3,19,18,56
0,0,10,11,17,7,7,7,13
0,5,5,39,15,22,20,11,24
0,4,3,17,27,13,14,17,18
1,1,3,43,13,13,8,27,44
0,2,15,28,2,15,24,23,34
5,15,17,22,6,22,11,24,2
0,8,13,2,43,10,23,26,36
0,3,3,30,8,23,17,46,33
6,19,4,17,23,4,18,17,19
0,4,8,8,2,16,17,18,7
1,4,16,6,55,8,16,28,46
0,17,7,15,18,9,2,20,29
8,8,12,12,17,18,9,18,23
4,4,10,16,20,21,13,12,6
15,1,1,13,7,4,30,35,36
5,5,5,6,16,8,4,17,26
3,6,4,5,22,7,10,29,12
0,0,2,13,11,24,18,14,26
2,2,6,24,10,67,32,30,44
0,1,2,1,12,7,46,26,40
2,8,14,5,2,40,22,29,16
18,2,8,16,41,2,14,2,12
0,6,16,16,22,28,40,11,4
0,16,5,12,24,16,12,2,36
4,4,4,9,45,45,16,35,42
6,11,6,16,6,29,4,46,19
4,1,1,23,13,4,3,4,40
0,2,12,5,37,8,49,36,23
5,17,17,5,15,40,14,14,44
17,12,12,22,1,6,64,53,6
7,13,5,3,14,3,35,4,14
13,8,10,10,13,13,16,44,5
3,4,4,4,22,32,7,35,10
0,1,18,10,24,3,3,12,20
2,3,5,3,10,14,15,23,28
0,4,17,3,8,8,18,14,32
6,4,5,14,14,19,50,18,63
0,13,16,11,21,22,26,19,15
4,11,3,3,8,9,11,22,2
5,5,6,7,37,7,8,12,54
4,23,23,2,9,42,28,15,11
8,2,14,10,20,33,11,30,23
5,3,3,3,9,13,11,35,32
0,8,7,27,28,8,14,20,27
0,0,3,34,8,4,7,8,1
0,4,26,14,8,8,28,5,50
4,26,7,35,7,30,8,33,5
0,0,18,21,15,4,16,11,42
4,13,8,6,8,46,26,16,31
2,2,2,2,4,2,2,33,18
8,18,31,14,14,12,23,5,9
0,32,6,22,11,22,22,14,42
8,5,11,11,3,24,36,28,12
3,2,6,6,1,23,30,17,41
0,0,2,6,12,4,7,30,20
0,5,4,6,6,27,29,26,10
2,6,17,23,23,13,18,39,46
0,10,7,20,16,9,33,17,21
4,6,22,2,35,28,11,51,18
0,6,6,9,11,39,2,13,23
0,10,10,10,11,25,8,23,36
1,1,7,16,16,23,22,20,20
4,3,3,3,31,31,16,58,18
4,2,3,30,9,26,14,10,28
0,13,8,17,16,16,9,25,32
0,7,15,11,18,18,4,16,31
4,18,7,9,20,11,42,21,9
8,8,26,11,7,10,12,36,26
23,32,2,2,27,31,31,29,16
0,36,11,33,8,10,3,13,19
2,16,3,9,16,15,10,18,17
1,7,14,14,15,33,13,10,53
0,0,31,5,39,3,10,2,8
3,3,9,12,12,26,5,24,12
0,0,0,20,13,8,16,4,19
18,9,11,30,14,20,1,27,21
0,9,11,2,6,9,2,49,25
0,7,5,4,19,34,7,48,13
0,14,10,24,2,20,18,21,13
0,35,7,11,14,26,17,13,34
3,21,21,28,17,5,6,22,10
6,6,6,7,17,3,18,17,46
0,8,5,5,35,20,23,12,25
6,17,13,12,25,3,8,8,32
4,14,10,9,9,18,7,20,27
8,4,17,3,12,22,68,41,21
0,0,9,12,2,3,9,21,13
0,13,14,10,21,9,2,16,15
12,8,5,3,11,15,3,29,47
0,3,5,17,31,1,15,33,5
0,11,11,4,18,3,3,19,16
0,11,11,8,3,14,22,15,38
0,1,32,1,16,8,22,29,26
0,0,48,8,4,21,15,61,12
0,12,3,5,18,20,19,12,1
0,9,3,18,13,13,13,41,7
2,5,20,12,7,21,24,12,20
0,4,7,17,21,15,15,7,15
0,0,18,9,44,8,3,40,24
8,8,8,25,3,11,3,27,47
0,3,1,12,11,6,11,4,28
0,0,0,2,12,8,36,13,63
11,35,18,18,16,29,33,14,21
0,3,3,3,8,18,8,4,10
0,3,17,22,10,13,20,21,29
0,0,8,8,19,46,46,8,34
0,2,15,20,37,4,11,16,10
0,15,3,35,10,22,16,17,40
6,5,8,12,66,28,29,9,33
3,2,18,29,29,53,39,18,31
0,8,8,12,26,23,2,39,34
14,4,13,29,4,39,24,26,20
2,4,3,10,20,4,13,21,13
6,6,12,5,11,6,29,8,38
8,8,8,13,20,15,5,14,32
7,8,7,7,7,28,38,26,15
3,3,22,15,5,13,18,24,6
5,14,30,2,8,2,12,8,23
0,0,20,18,11,31,4,17,26
6,6,11,20,57,7,4,26,48
0,11,6,1,1,6,16,8,53
7,12,38,9,19,7,6,12,15
2,1,1,16,15,2,2,57,9
0,9,10,35,6,2,2,20,12
0,14,11,10,10,13,2,42,17
3,13,3,4,10,13,15,10,30
0,14,15,20,34,8,15,36,43
0,1,25,19,18,29,14,25,9
1,2,15,33,14,4,21,32,40
0,1,2,3,7,16,12,12,46
1,9,9,13,12,1,5,17,11
0,8,8,8,12,24,29,20,33
2,2,4,8,11,21,6,29,21
1,6,14,15,12,2,21,12,23
4,8,23,8,3,19,22,15,21
2,5,12,31,2,38,8,30,21
0,5,12,8,11,13,10,19,9
1,14,3,3,16,11,31,13,10
2,20,11,14,12,25,10,47,21
0,25,7,1,16,6,6,30,9
6,13,34,14,10,9,17,10,35
0,27,6,4,2,4,31,20,61
3,11,11,8,20,8,1,15,11
0,6,6,16,18,3,10,1,16
2,3,18,18,12,16,61,6,47
7,4,23,2,7,19,18,35,16
1,15,15,22,20,20,17,4,3
1,6,12,18,11,11,7,24,2
2,1,10,8,3,21,12,20,13
19,19,19,10,2,9,22,28,19
0,6,8,7,11,25,11,21,24
0,7,4,7,2,29,48,31,5
21,28,4,6,6,27,9,20,35
0,11,1,1,26,10,14,6,17
0,6,11,12,34,24,15,11,25
3,9,8,16,50,4,44,19,33
0,0,10,11,36,3,19,1,4
5,13,13,13,40,15,7,7,43
0,16,13,5,12,11,11,26,3
0,0,4,17,19,28,10,17,7
0,7,7,11,1,13,16,21,30
6,41,1,2,40,6,28,14,30
0,6,1,16,18,37,39,22,5
0,1,1,10,31,31,13,23,8
0,12,18,4,4,8,28,8,41
2,14,13,26,13,3,22,37,30
0,14,12,10,34,11,8,5,5
0,17,20,5,33,14,19,15,24
0,9,9,5,7,4,25,36,10
0,10,8,24,17,35,9,30,12
0,2,3,3,28,42,26,34,12
0,0,10,36,1,25,21,17,24
7,3,16,14,21,26,9,5,22
8,7,20,6,28,25,6,28,9
19,15,3,24,73,10,6,18,22
2,7,5,6,8,19,23,2,21
2,23,7,24,20,13,5,14,32
0,12,10,19,13,7,21,29,9
4,4,4,4,3,5,35,34,26
0,22,38,8,10,10,26,6,12
5,2,49,21,24,11,48,9,7
2,28,7,3,6,26,17,23,30
0,0,0,14,11,35,27,22,29
0,7,7,6,5,15,19,9,12
0,22,2,17,13,20,27,40,37
0,23,10,6,9,8,4,25,13
16,16,16,33,13,6,19,8,9
4,6,2,13,3,28,28,14,17
9,15,15,8,13,16,8,29,14
6,6,5,3,33,12,45,31,17
0,4,10,12,11,2,8,23,21
11,12,14,6,16,22,37,19,4
2,10,10,11,24,5,30,5,31
1,32,4,4,16,36,42,32,5
2,4,4,9,14,46,10,9,16
2,8,3,8,20,21,4,7,33
0,8,9,1,4,22,22,24,30
1,1,1,25,10,1,4,14,21
0,11,3,4,34,19,16,20,13
0,11,6,22,7,13,22,18,35
0,12,7,7,1,1,26,43,19
0,24,24,39,39,6,20,40,40
3,13,2,16,15,9,13,31,1
0,4,9,2,5,41,20,16,26
8,11,4,4,46,4,19,26,16
9,14,2,16,11,33,39,17,49
5,13,4,8,20,10,9,28,19
0,7,6,12,8,10,24,38,22
12,6,14,33,5,5,28,4,3
0,12,16,11,8,19,15,18,24
7,6,7,39,12,8,21,43,16
7,16,7,5,4,7,38,13,37
0,6,31,18,16,32,44,8,25
2,2,20,32,8,8,13,23,32
2,3,14,12,3,12,29,13,30
14,9,19,9,31,9,63,38,9
0,12,9,17,28,8,37,11,29
0,0,12,15,34,18,32,26,35
2,3,8,8,5,32,15,14,28
0,2,8,16,2,2,54,23,22
1,5,2,1,21,7,26,29,22
1,1,1,8,10,9,28,37,27
17,23,2,32,29,20,20,12,7
4,4,4,21,9,8,50,25,57
6,12,5,23,2,58,23,21,16
2,2,3,6,2,13,31,21,32
2,7,5,7,2,14,9,38,18
1,7,4,4,25,11,33,30,32
0,16,16,3,1,21,20,20,6
0,6,1,10,5,14,13,23,16
1,20,8,4,36,36,7,44,23
11,23,12,3,20,17,12,30,48
1,25,24,5,4,17,8,10,47
0,12,11,23,25,11,13,24,63
0,5,1,19,19,1,51,15,23
0,1,1,21,21,25,33,41,15
0,12,12,12,17,34,3,20,10
2,2,7,25,9,2,16,25,15
0,15,1,11,6,42,23,64,26
7,7,7,10,6,22,11,26,17
0,1,24,24,5,20,4,12,10
0,7,7,7,20,29,28,9,19
0,3,30,4,3,25,14,19,35
0,7,26,8,11,23,11,33,11
11,14,2,7,8,8,8,7,37
0,5,3,18,5,8,9,9,13
6,3,3,7,7,21,16,26,2
0,3,1,7,7,22,23,17,35
0,33,2,21,6,22,24,5,30
0,0,3,5,1,29,19,20,14
0,14,9,9,38,21,25,9,7
0,6,2,9,27,38,22,36,26
20,20,1,1,14,24,32,49,11
4,11,6,12,7,7,24,20,27
21,24,24,24,36,36,14,45,20
1,11,16,4,24,10,22,27,27
0,18,4,15,20,43,17,28,16
15,16,6,6,43,13,25,44,5
0,1,3,3,1,13,23,19,52
1,13,9,7,32,4,29,41,32
1,16,15,15,30,7,49,12,43
0,5,5,20,14,27,12,22,16
0,16,8,4,30,7,23,10,25
10,10,7,7,2,19,11,15,11
0,0,9,8,24,31,13,11,13
0,8,13,7,35,39,24,31,25
0,6,8,11,2,3,3,25,15
11,5,9,24,19,17,31,14,25
0,17,9,4,3,10,45,9,21
10,1,3,3,25,6,9,16,9
0,4,4,7,24,38,29,7,34
3,2,6,6,7,7,12,21,16
9,4,28,3,2,11,3,11,27
3,12,4,7,14,24,14,22,34
3,2,10,6,9,6,29,30,12
3,6,6,15,10,9,4,2,14
0,17,8,32,20,20,20,39,11
5,16,16,2,9,12,20,3,27
8,19,5,3,14,2,21,26,31
0,4,12,10,13,21,35,32,36
9,8,1,20,4,25,11,3,64
3,3,2,27,38,24,6,22,28
7,29,13,1,2,2,23,50,13
0,34,43,15,11,17,17,16,30
